Ticker,Order Level,Stop Level,Limit Level,Reward/Risk
ABDN.L,190.0,191.67,165.16,14.9
BARC.L,156.2,161.15,127.74,5.76
BDEV.L,499.4,510.99,423.67,6.54
BRBY.L,1631.0,1702.2,1401.21,3.23
CCH.L,1719.0,1806.1,1255.54,5.32
CRH.L,3170.0,3336.42,2826.44,2.06
DPH.L,3544.0,3710.8,2927.38,3.7
FLTR.L,9344.0,9743.33,7485.97,4.65
KGF.L,254.6,260.07,222.97,5.78
MRO.L,119.9,124.74,98.83,4.35
PHNX.L,639.8,665.28,577.6,2.44
PRU.L,1019.0,1125.76,880.04,1.3
PSN.L,2161.0,2231.35,1907.93,3.6
SN.L,1289.5,1342.16,1200.81,1.68
TW.L,128.5,132.17,112.87,4.25
