Date,Open,High,Low,Close,Adj Close,Volume,macd,signal,macd_diff,crossover,crossunder,lowest_MACD,MACD_ratio,lowest_Low,MACD_up,state,screen_passed,marker
2021-04-28,302.5,304.0,299.5,299.5,299.5,803310,0.0,0.0,0.0,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-04-29,303.5,310.08099365234375,295.5050048828125,298.0,298.0,1292050,-0.03365384615381117,-0.018696581196561764,-0.01495726495724941,False,True,,,,False,"(0, 0, 0, 0)",False,
2021-04-30,293.5,300.4880065917969,293.5,299.5,299.5,1210970,0.003633230399373133,-0.00954501906708025,0.013178249466453382,True,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-05-04,295.0,310.0,283.75,286.0,286.0,674512,-0.46690927559166084,-0.16447871030169425,-0.3024305652899666,False,True,,,,False,"(0, 0, 0, 0)",False,
2021-05-05,289.95001220703125,290.0,283.3999938964844,284.3999938964844,284.3999938964844,786725,-0.7764333447437934,-0.34652137880541245,-0.429911965938381,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-05-06,286.0,286.0,274.76300048828125,276.3999938964844,276.3999938964844,927125,-1.2899896052696818,-0.6022537239958748,-0.6877358812738069,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-05-07,281.8999938964844,378.8500061035156,277.29998779296875,282.5,282.5,891626,-1.3207780604486175,-0.7840930650670286,-0.5366849953815889,False,False,,,,True,"(0, 0, 0, 0)",False,
2021-05-10,276.0,280.0,262.0,264.0,264.0,2468824,-2.200042767262687,-1.1243724054446969,-1.0756703618179901,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-05-11,260.0,260.0,244.0,254.0,254.0,3158731,-3.2715788543554254,-1.6203877474891983,-1.651191106866227,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-05-12,250.0,258.0,244.0,246.0,246.0,1484405,-4.396174798907566,-2.2423251812241127,-2.1538496176834534,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-05-13,242.0,257.760009765625,240.0,254.0,254.0,1467623,-4.720968361868415,-2.7846381463403977,-1.9363302155280175,False,False,,,,True,"(0, 0, 0, 0)",False,
2021-05-14,256.0,264.0,254.0,260.0,260.0,981446,-4.565277121934912,-3.167044721182882,-1.39823240075203,False,False,,,,True,"(0, 0, 0, 0)",False,
2021-05-17,264.0,268.0,256.0,258.0,258.0,499489,-4.5022283470225375,-3.4496159647496527,-1.0526123822728848,False,False,,,,True,"(0, 0, 0, 0)",False,
2021-05-18,266.0,266.0,254.0,258.0,258.0,536900,-4.396560950031073,-3.6477175622010907,-0.7488433878299827,False,False,,,,True,"(0, 0, 0, 0)",False,
2021-05-19,254.0,255.63999938964844,245.75999450683594,250.0,250.0,851261,-4.735508814612217,-3.8732096087522434,-0.8622992058599737,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-05-20,252.0,266.0,252.0,264.0,264.0,393366,-4.084084791962482,-3.9166061494217175,-0.1674786425407646,False,False,,,,True,"(0, 0, 0, 0)",False,
2021-05-21,260.0,270.0,260.0,266.0,266.0,479698,-3.4128309022792678,-3.81353003217716,0.40069912989789236,True,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-05-24,260.0,272.0,260.0,268.0,268.0,388238,-2.730762561391714,-3.5930038922537326,0.8622413308620187,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-05-25,272.0,275.8800048828125,268.0,268.0,268.0,445447,-2.1733717270934676,-3.3049258166165814,1.1315540895231138,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-05-26,270.0,274.0,270.0,270.0,270.0,372865,-1.5871689469869352,-2.9573673665790916,1.3701984195921564,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-05-27,270.0,274.0,268.0,272.0,272.0,433285,-0.982911253859811,-2.5588000090146727,1.5758887551548617,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-05-28,276.0,276.0,268.0,272.0,272.0,466411,-0.5033767570645864,-2.144659541337533,1.6412827842729465,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-06-01,276.0,280.0,270.0,270.0,270.0,546662,-0.26138340803913707,-1.7657677322027387,1.5043843241636017,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-06-02,270.0,276.0,268.0,268.0,268.0,386506,-0.20784116903359973,-1.4527040179778528,1.244862848944253,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-06-03,268.0,272.0,264.0,266.0,266.0,552816,-0.30277214118535767,-1.2218454837358428,0.9190733425504851,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-06-04,270.0,272.0,266.0840148925781,268.0,268.0,393036,-0.2326898121850718,-1.023414628966341,0.7907248167812693,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-06-07,272.0,273.1600036621094,266.0,266.0,266.0,546405,-0.3171309356313827,-0.8818155246729201,0.5646845890415374,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-06-08,270.0,272.0,266.0,270.0,270.0,493883,-0.0932572869612045,-0.7237982272252487,0.6305409402640442,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-06-09,266.0,270.0,266.0,268.0,268.0,326765,-0.06167234547433509,-0.5911678152533073,0.5294954697789722,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-06-10,268.0,272.0,266.0,266.0,266.0,502166,-0.18155944539734037,-0.5091446014616103,0.32758515606426997,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-06-11,272.0,276.0,268.6300048828125,270.0,270.0,458707,0.01945772154039105,-0.40331933259120784,0.4227770541315989,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-06-14,270.0,276.0,267.0,270.0,270.0,690482,0.17629629049162077,-0.2873042913892576,0.4636005818808784,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-06-15,276.0,278.0,270.0,270.0,270.0,656428,0.2968470397678402,-0.17039992821476438,0.46724696798260457,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-06-16,272.5,276.5,270.0,274.5,274.5,1612063,0.7227532480018226,0.008321329472385224,0.7144319185294374,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-06-17,276.0,280.0,271.0,280.0,280.0,1326486,1.4591465185363859,0.29860411997434233,1.1605423985620436,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-06-18,280.0,284.0880126953125,277.5,281.5,281.5,1282661,2.131168294474378,0.6652359337002648,1.4659323607741133,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-06-21,284.0,284.0,274.5,281.5,281.5,1600305,2.632421395549841,1.0587751947036108,1.57364620084623,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-06-22,280.5,284.0,279.0,284.0,284.0,762971,3.1839906242068423,1.4839065769378745,1.7000840472689678,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-06-23,284.0,286.0,281.0,282.5,282.5,855826,3.464894987508387,1.8801700996229849,1.5847248878854023,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-06-24,286.0,286.0,279.6669921875,282.5,282.5,873013,3.64498834102983,2.2331806710577893,1.4118076699720405,False,False,-2.1538496176834534,0.0,240.0,False,"(0, 0, 0, 0)",False,
2021-06-25,286.0,287.5,281.5,286.0,286.0,1302620,4.01238067169237,2.5890585146081233,1.4233221570842463,False,False,-2.1538496176834534,0.0,240.0,True,"(0, 0, 0, 0)",False,
2021-06-28,283.0,290.0,281.5,290.0,290.0,990082,4.561462343701976,2.9835728419941705,1.5778895017078054,False,False,-2.1538496176834534,0.0,240.0,True,"(0, 0, 0, 0)",False,
2021-06-29,290.0,294.6340026855469,288.5,291.0,291.0,912382,5.016160574446758,3.3901180565182596,1.6260425179284983,False,False,-2.1538496176834534,0.0,240.0,True,"(0, 0, 0, 0)",False,
2021-06-30,293.5,296.0,292.29998779296875,294.5,294.5,1345202,5.585193177151552,3.829156984197795,1.7560361929537573,False,False,-2.1538496176834534,0.0,240.0,True,"(0, 0, 0, 0)",False,
2021-07-01,296.0,298.0,293.0,294.5,294.5,926439,5.966815282748939,4.256707266349238,1.7101080163997011,False,False,-2.1538496176834534,0.0,240.0,False,"(0, 0, 0, 0)",False,
2021-07-02,296.0,298.5,293.0,297.5,297.5,596716,6.430249737204576,4.69143090842839,1.7388188287761865,False,False,-2.1538496176834534,0.0,240.0,True,"(0, 0, 0, 0)",False,
2021-07-05,299.0,300.5,296.75,299.0,299.0,780015,6.836280077571018,5.120412700523966,1.7158673770470525,False,False,-2.1538496176834534,0.0,240.0,False,"(0, 0, 0, 0)",False,
2021-07-06,300.0,303.22698974609375,297.0,301.0,301.0,674815,7.231934284475244,5.542726435225212,1.6892078492500318,False,False,-2.1538496176834534,0.0,240.0,False,"(0, 0, 0, 0)",False,
2021-07-07,301.5,304.5,299.0,304.0,304.0,725606,7.6933122617200524,5.9728512742077315,1.720460987512321,False,False,-2.1538496176834534,0.0,240.0,True,"(0, 0, 0, 0)",False,
2021-07-08,304.0,304.0,292.5,295.5,295.5,1046109,7.302062719621404,6.238697357572556,1.063365362048848,False,False,-1.9363302155280175,0.0,240.0,False,"(0, 0, 0, 0)",False,
2021-07-09,294.0,301.5,294.0,300.0,300.0,644744,7.264558547704269,6.443871938278473,0.8206866094257954,False,False,-1.39823240075203,0.0,245.75999450683594,False,"(0, 0, 0, 0)",False,
2021-07-12,304.5,304.5,297.0,299.0,299.0,443054,7.073750348937324,6.569848771131165,0.5039015778061593,False,False,-1.0526123822728848,0.0,245.75999450683594,False,"(0, 0, 0, 0)",False,
2021-07-13,300.0,304.23199462890625,295.5,304.0,304.0,690382,7.236070695458693,6.703094129688218,0.5329765657704755,False,False,-0.8622992058599737,0.0,245.75999450683594,True,"(0, 0, 0, 0)",False,
2021-07-14,297.5,303.0,295.5,300.0,300.0,696209,6.966115173887147,6.755698646054351,0.21041652783279563,False,False,-0.8622992058599737,0.0,245.75999450683594,False,"(0, 0, 0, 0)",False,
2021-07-15,297.0,299.5,291.8789978027344,292.0,292.0,915053,6.045520186034594,6.613662289774024,-0.5681421037394303,False,True,-0.5681421037394303,1.0,252.0,False,"(0, 1, 0, 0)",False,
2021-07-16,290.0,293.0119934082031,289.0,290.0,290.0,485254,5.097805624858381,6.310489822488028,-1.2126841976296472,False,False,-1.2126841976296472,1.0,260.0,False,"(1, 0, 0, 0)",False,
2021-07-19,291.5,294.5,281.24700927734375,281.5,281.5,792663,3.6269924981482973,5.7737887511903985,-2.146796253042101,False,False,-2.146796253042101,1.0,260.0,False,"(1, 0, 0, 0)",False,
2021-07-20,288.0,290.0,281.15399169921875,284.0,284.0,1049730,2.630718780200141,5.145173251757269,-2.514454471557128,False,False,-2.514454471557128,1.0,264.0,False,"(1, 0, 0, 0)",False,
2021-07-21,290.5,292.0,287.0,291.5,291.5,1009261,2.4126090555823225,4.598659365609664,-2.1860503100273414,False,False,-2.514454471557128,0.8693934747100767,264.0,True,"(1, 0, 0, 0)",False,
2021-07-22,293.0,296.0,291.43701171875,294.0,294.0,800906,2.411813436144598,4.161289509449296,-1.749476073304698,False,False,-2.514454471557128,0.695767647851384,264.0,True,"(1, 0, 0, 0)",False,
2021-07-23,295.5,299.0,293.5,297.0,297.0,652565,2.620950349794839,3.853221299827879,-1.23227095003304,False,False,-2.514454471557128,0.49007487070144906,264.0,True,"(1, 0, 0, 0)",False,
2021-07-26,297.0,298.5,294.0,296.0,296.0,863668,2.6757352994571306,3.6177238687785205,-0.9419885693213899,False,False,-2.514454471557128,0.3746293997274263,264.0,True,"(1, 0, 0, 0)",False,
2021-07-27,294.5,299.0,289.5,291.0,291.0,964721,2.292170697705501,3.352613026547951,-1.0604423288424498,False,False,-2.514454471557128,0.4217385285110169,264.0,False,"(1, 0, 0, 0)",False,
2021-07-28,290.5,298.7959899902344,288.5,298.0,298.0,646812,2.5201729990384365,3.1861249165397676,-0.6659519175013311,False,False,-2.514454471557128,0.26484946338635695,264.0,True,"(1, 0, 0, 0)",False,
2021-07-29,298.5,299.0199890136719,296.0,298.0,298.0,610598,2.670043096771451,3.082908500754109,-0.41286540398265803,False,False,-2.514454471557128,0.16419681034311293,266.0,True,"(1, 0, 0, 0)",False,
2021-07-30,298.0,298.0,292.5,298.0,298.0,546467,2.7569972159373037,3.0177262176047757,-0.2607290016674719,False,False,-2.514454471557128,0.10369207500743097,266.0,True,"(1, 0, 0, 0)",False,
2021-08-02,297.5,299.29998779296875,294.5,294.5,294.5,422347,2.5159657745024333,2.9173740967323796,-0.40140832222994627,False,False,-2.514454471557128,0.1596403222927977,266.0,False,"(1, 0, 0, 0)",False,
2021-08-03,295.5,297.0,293.0,293.0,293.0,382031,2.1793765944864276,2.769774558333859,-0.5903979638474315,False,False,-2.514454471557128,0.23480161224864624,266.0,False,"(1, 0, 0, 0)",False,
2021-08-04,295.5,298.0,293.0,298.0,298.0,947871,2.2878581110104506,2.6733912490442804,-0.3855331380338298,False,False,-2.514454471557128,0.15332675234126647,266.0,True,"(1, 0, 0, 0)",False,
2021-08-05,295.5,300.0,295.5,299.0,299.0,629170,2.426188527090744,2.623950696518108,-0.1977621694273637,False,False,-2.514454471557128,0.07865012934789603,267.0,True,"(1, 0, 0, 0)",False,
2021-08-06,300.0,301.0,297.5,300.0,300.0,687619,2.5863529967859904,2.616431155581809,-0.030078158795818766,False,False,-2.514454471557128,0.01196210117783212,267.0,True,"(1, 0, 0, 0)",False,
2021-08-09,300.0,302.0,298.0,300.5,300.5,617424,2.7220810976635903,2.6375611462234128,0.08451995144017754,True,False,-2.514454471557128,0.0,270.0,True,"(1, 0, 0, 0)",False,
2021-08-10,302.0,303.5,296.0,297.0,297.0,821233,2.5191181164081513,2.613872538264599,-0.09475442185644756,False,True,-2.514454471557128,0.03768388846498736,270.0,False,"(0, 1, 0, 0)",False,
2021-08-11,296.5,299.5,294.54998779296875,295.0,295.0,676087,2.172340123391848,2.525566049338203,-0.3532259259463548,False,False,-2.514454471557128,0.14047815537801817,271.0,False,"(0, 1, 0, 0)",False,
2021-08-12,296.0,297.5,291.49200439453125,295.0,295.0,964821,1.8758908517631312,2.395631002817104,-0.519740151053973,False,False,-2.514454471557128,0.20670095916754186,274.5,False,"(0, 1, 0, 0)",False,
2021-08-13,299.5,300.0,295.3900146484375,296.0,296.0,622441,1.701809771159617,2.256866750499884,-0.5550569793402671,False,False,-2.514454471557128,0.22074648223657695,274.5,False,"(0, 1, 0, 0)",False,
2021-08-16,297.5,297.5,292.3500061035156,294.0,294.0,608240,1.3868758586247623,2.082868566120403,-0.6959927074956407,False,False,-2.514454471557128,0.27679670297018055,279.0,False,"(0, 1, 0, 0)",False,
2021-08-17,295.0,299.5,293.6700134277344,295.0,295.0,513492,1.2039184385747035,1.9070785357582305,-0.703160097183527,False,False,-2.514454471557128,0.27964717800123085,279.6669921875,False,"(0, 1, 0, 0)",False,
2021-08-18,295.0,299.5,294.0,295.5,295.5,366856,1.0866564065246962,1.7429941062876226,-0.6563376997629264,False,False,-2.514454471557128,0.2610258834221308,279.6669921875,True,"(0, 1, 0, 0)",False,
2021-08-19,290.5,295.6730041503906,287.5,295.0,295.0,674261,0.9425918197240435,1.5829136461465299,-0.6403218264224864,False,False,-2.514454471557128,0.2546563613163987,281.15399169921875,True,"(0, 1, 0, 0)",False,
2021-08-20,295.5,298.0,292.2449951171875,298.0,298.0,457341,1.0578584788351009,1.4779026111999365,-0.4200441323648356,False,False,-2.514454471557128,0.16705179477945153,281.15399169921875,True,"(0, 1, 0, 0)",False,
2021-08-23,300.0,300.5,290.0950012207031,300.5,300.5,905585,1.3352000654803078,1.4493621017332796,-0.11416203625297183,False,False,-2.514454471557128,0.04540230795361135,281.15399169921875,True,"(0, 1, 0, 0)",False,
2021-08-24,301.5,306.0,297.2170104980469,306.0,306.0,736477,1.9753270378826073,1.554555089914748,0.4207719479678593,True,False,-2.514454471557128,0.0,281.15399169921875,True,"(0, 1, 0, 0)",False,
2021-08-25,302.5,307.25,301.5,304.5,304.5,583383,2.3348403708688465,1.7106121472349534,0.6242282236338932,False,False,-2.514454471557128,0.0,281.15399169921875,True,"(0, 1, 0, 0)",False,
2021-08-26,302.5,306.5,299.5,306.0,306.0,904779,2.7093895809697983,1.9103676351384278,0.7990219458313705,False,False,-2.514454471557128,0.0,281.15399169921875,True,"(0, 1, 0, 0)",False,
2021-08-27,306.5,307.5,303.0,307.5,307.5,674469,3.091462293766142,2.146586567958062,0.94487572580808,False,False,-2.514454471557128,0.0,281.15399169921875,True,"(0, 1, 0, 0)",False,
2021-08-31,308.0,313.5,306.0,311.5,311.5,888719,3.674287450472036,2.452126745592989,1.2221607048790473,False,False,-2.514454471557128,0.0,281.15399169921875,True,"(0, 1, 0, 0)",False,
2021-09-01,312.0,314.0,307.5,314.0,314.0,566556,4.288249165337277,2.819351230630402,1.4688979347068747,False,False,-2.514454471557128,0.0,281.15399169921875,True,"(0, 1, 0, 0)",False,
2021-09-02,308.0,313.5,305.3919982910156,309.0,309.0,866382,4.321922678593239,3.1198655209356154,1.2020571576576238,False,False,-2.514454471557128,0.0,281.15399169921875,False,"(0, 1, 0, 0)",False,
2021-09-03,309.0,312.0,306.93701171875,311.5,311.5,579238,4.498293164735571,3.3955510502186197,1.1027421145169516,False,False,-2.514454471557128,0.0,281.15399169921875,False,"(0, 1, 0, 0)",False,
2021-09-06,311.5,314.5,311.5,313.0,313.0,684351,4.704761132641806,3.6573930671006574,1.047368065541149,False,False,-2.514454471557128,0.0,281.15399169921875,False,"(0, 1, 0, 0)",False,
2021-09-07,315.5,315.79998779296875,311.5,312.5,312.5,667124,4.773044949316784,3.8805234438148,0.8925215055019837,False,False,-2.514454471557128,0.0,281.15399169921875,False,"(0, 1, 0, 0)",False,
2021-09-08,308.0,313.5,306.0,307.0,307.0,668179,4.333714157861607,3.9711615867122014,0.36255257114940553,False,False,-2.514454471557128,0.0,281.15399169921875,False,"(0, 1, 0, 0)",False,
2021-09-09,305.0,310.5,302.0,308.5,308.5,1926514,4.059697646458801,3.98886879867528,0.07082884778352083,False,False,-2.514454471557128,0.0,281.15399169921875,False,"(0, 1, 0, 0)",False,
2021-09-10,309.0,310.33099365234375,305.9949951171875,307.0,307.0,846358,3.679161177593869,3.9269272744204917,-0.24776609682662265,False,True,-2.514454471557128,0.09853672024261721,281.15399169921875,False,"(0, 1, 0, 0)",False,
2021-09-13,304.6629943847656,309.625,300.0,301.0,301.0,602802,2.8607330966667064,3.713688438763686,-0.8529553420969798,False,False,-2.514454471557128,0.3392208336819753,281.15399169921875,False,"(0, 1, 0, 0)",False,
