Date,Open,High,Low,Close,Adj Close,Volume
2021-05-11,791.5,804.0,787.5,798.0,774.8081665039062,590081
2021-05-12,802.0,809.5,797.5,802.0,778.6919555664062,260538
2021-05-13,790.0,806.5,788.5,805.5,782.0902709960938,403412
2021-05-14,826.5,826.5,803.0,818.0,794.2269287109375,394120
2021-05-17,818.5,823.5,798.0,818.5,794.71240234375,406076
2021-05-18,825.5,827.0,817.5,825.0,801.0234985351562,383721
2021-05-19,811.5,820.5,808.5,815.0,791.3141479492188,335648
2021-05-20,822.0,824.5,807.0,824.5,800.5380249023438,199186
2021-05-21,815.0,837.0,815.0,833.0,808.791015625,519889
2021-05-24,818.0,842.5,818.0,840.5,816.072998046875,354934
2021-05-25,840.0,848.0,839.5,846.5,821.898681640625,263377
2021-05-26,825.5,855.0,825.5,850.0,825.2969970703125,238246
2021-05-27,833.5,860.0,833.5,860.0,835.00634765625,464031
2021-05-28,865.5,868.5,857.5,866.5,841.3174438476562,249471
2021-06-01,888.0,888.0,868.5,870.0,844.7156982421875,118212
2021-06-02,880.5,889.0,867.5,874.5,849.0848999023438,101765
2021-06-03,883.0,883.0,867.0,872.0,846.6575927734375,139193
2021-06-04,871.0,879.0,871.0,878.0,852.4832153320312,341578
2021-06-07,883.0,884.0,870.5,876.0,850.5413208007812,128311
2021-06-08,886.0,886.0,870.5,872.5,847.14306640625,231051
2021-06-09,885.0,885.0,850.5,857.5,832.5789794921875,239230
2021-06-10,867.5,870.5,849.5,854.5,829.6661987304688,145258
2021-06-11,859.0,861.5,844.0,857.5,832.5789794921875,135658
2021-06-14,859.0,867.5,849.0,849.0,824.3260498046875,113506
2021-06-15,865.5,872.47998046875,845.1799926757812,846.0,821.4132080078125,228051
2021-06-16,851.0,858.0,842.0,856.5,831.6080322265625,257444
2021-06-17,844.5,866.0,844.5,853.5,828.6952514648438,357791
2021-06-18,866.0,866.0,842.5,857.5,832.5789794921875,585342
2021-06-21,835.5,855.5,835.5,855.5,830.6371459960938,219778
2021-06-22,859.5,860.0,849.5,860.0,835.00634765625,104139
2021-06-23,861.0,868.5,853.0,868.0,842.7738037109375,352199
2021-06-24,865.0,871.0,847.0,849.5,824.8115234375,642203
2021-06-25,856.5,859.0,845.5,852.0,827.2388305664062,143344
2021-06-28,875.5,875.5,836.0,836.0,811.7037963867188,158650
2021-06-29,837.0,847.0,835.5,845.0,820.4423217773438,379463
2021-06-30,862.5,862.5,838.0,846.5,821.898681640625,275968
2021-07-01,864.0,875.5,845.0,863.5,838.4046020507812,233507
2021-07-02,869.5,882.5,863.5,877.5,851.9977416992188,207866
2021-07-05,859.5,884.0,859.5,876.5,851.0267944335938,241634
2021-07-06,875.0,875.0,849.5,852.5,827.7243041992188,358902
2021-07-07,862.0,865.25,856.0,858.5,833.5499267578125,132887
2021-07-08,863.5,863.5,843.0,851.0,826.2678833007812,172774
2021-07-09,849.0,882.5,849.0,882.5,856.8524169921875,155599
2021-07-12,869.0,887.0,869.0,882.0,856.366943359375,93142
2021-07-13,889.0,899.5,876.0,885.5,859.7651977539062,103863
2021-07-14,885.0,887.0,879.530029296875,882.0,856.366943359375,94419
2021-07-15,880.0,882.5,869.5,875.0,849.5703735351562,199275
2021-07-16,885.5,885.5,865.0,865.5,840.3464965820312,248323
2021-07-19,853.0,864.5,831.5,836.0,811.7037963867188,281396
2021-07-20,856.5,856.5,840.0,849.5,824.8115234375,433736
2021-07-21,830.5,869.5,830.5,866.5,841.3174438476562,472953
2021-07-22,886.5,886.5,863.5,863.5,838.4046020507812,140979
2021-07-23,868.0,871.5,850.0,869.5,844.230224609375,164178
2021-07-26,874.0,874.0,847.0,870.0,844.7156982421875,202423
2021-07-27,870.0,889.0,862.5,889.0,863.16357421875,198293
2021-07-28,884.0,894.5,877.0,883.5,857.8233642578125,202970
2021-07-29,899.5,914.0,889.5,897.5,871.41650390625,252184
2021-07-30,875.0,902.5,875.0,902.5,876.2711791992188,610942
2021-08-02,877.0,916.5,877.0,895.5,869.474609375,226837
2021-08-03,900.0,912.0,874.0,912.0,885.4950561523438,348470
2021-08-04,913.0,927.0,905.0,926.0,899.0881958007812,320863
2021-08-05,926.5,932.5,917.5,932.0,904.9138793945312,265921
2021-08-06,935.5,946.5,914.5,914.5,887.9224243164062,215188
2021-08-09,906.0,912.0,902.5,907.5,881.1258544921875,169818
2021-08-10,911.5,929.0,907.0,923.5,896.6608276367188,172035
2021-08-11,925.0,943.0,922.5,943.0,915.5941772460938,123803
2021-08-12,950.0,951.7979736328125,942.0,948.0,920.4488525390625,113869
2021-08-13,974.0,974.0,939.5,944.5,917.050537109375,86150
2021-08-16,921.0,942.5,921.0,936.5,909.2830810546875,297235
2021-08-17,948.0,957.5,935.0,946.5,918.992431640625,440481
2021-08-18,962.0,962.0,940.0,956.5,928.7017822265625,158160
2021-08-19,940.0,960.0,940.0,944.5,917.050537109375,221276
2021-08-20,946.5,950.0,931.0,944.5,917.050537109375,293278
2021-08-23,930.0,955.0,930.0,936.0,908.797607421875,91429
2021-08-24,936.5,943.0,932.5,942.5,915.1087036132812,84846
2021-08-25,952.0,955.5,938.5,953.0,925.3035278320312,71965
2021-08-26,951.0,954.5,942.5,954.5,926.7599487304688,371487
2021-08-27,961.5,964.0,934.5,961.0,933.0709838867188,111314
2021-08-31,968.0,974.5,949.5,964.5,936.4692993164062,172188
2021-09-01,967.5,973.0,957.5,972.5,944.2367553710938,474104
2021-09-02,972.5,979.0,968.5,976.0,947.6351318359375,111468
2021-09-03,975.0,988.0,975.0,984.5,955.8880615234375,269546
2021-09-06,1007.0,1007.0,974.0,982.0,953.4607543945312,446655
2021-09-07,1006.0,1006.0,966.5,971.0,942.7803955078125,164475
2021-09-08,990.0,990.0,946.0,950.0,922.3906860351562,209178
2021-09-09,944.5,951.0,938.0,948.5,920.934326171875,666441
2021-09-10,944.5,969.0,944.5,967.0,938.8966064453125,333034
2021-09-13,968.0,972.5,959.0,960.5750122070312,932.6583862304688,25641
2021-09-14,965.0,965.0,942.0,945.0,917.5360107421875,181847
2021-09-15,946.5,951.0,939.0,939.0,911.7103881835938,116441
2021-09-16,932.5,952.947998046875,932.5,945.0,917.5360107421875,271264
2021-09-17,950.0,959.5,925.5,928.0,901.030029296875,486779
2021-09-20,911.5,924.5,898.5280151367188,908.0,881.611328125,226212
2021-09-21,916.0,921.0,902.5,903.0,876.7566528320312,362399
2021-09-22,892.0,920.5,892.0,912.5,885.9805297851562,326381
2021-09-23,920.5,925.5,901.5,912.0,885.4950561523438,148801
2021-09-24,910.0,932.5,901.5,909.5,883.0677490234375,134873
2021-09-27,921.0,921.0,898.5,900.0,873.8438720703125,92428
2021-09-28,899.0,909.5,868.0,877.0,851.5122680664062,251633
2021-09-29,899.5,899.5,880.5,888.0,862.192626953125,584104
2021-09-30,880.0,892.5,877.5,877.5,851.9977416992188,1232701
2021-10-01,859.5,871.5,844.5,845.0,820.4423217773438,176414
2021-10-04,841.5,854.5,830.0,830.0,805.878173828125,419189
2021-10-05,840.0,840.0,817.0,827.5,803.4508666992188,341826
2021-10-06,825.0,828.0,802.0,818.0,794.2269287109375,476298
2021-10-07,832.5,832.5,801.0,817.5,799.8035278320312,325425
2021-10-08,840.5,840.5,810.9000244140625,817.0,799.3143920898438,269911
2021-10-11,819.5,819.5,809.5,816.5,798.8251953125,110618
2021-10-12,804.5,816.0,804.5,809.0,791.487548828125,160091
2021-10-13,812.0,826.0,794.0,818.0,800.292724609375,386698
2021-10-14,847.0,847.0,809.5,826.5,808.6087036132812,251198
2021-10-15,810.5,830.5,810.5,824.0,806.162841796875,260426
2021-10-18,827.5,827.5,810.0,814.0,796.3793334960938,178374
2021-10-19,824.5,824.5,816.5,820.0,802.2494506835938,207137
2021-10-20,840.5,840.5,816.0,824.5,806.6520385742188,212974
2021-10-21,822.0,825.0,814.5,822.0,804.2061157226562,166359
2021-10-22,822.0,829.0,818.5,822.0,804.2061157226562,127136
2021-10-25,819.5,824.5,809.5,821.5,803.7169799804688,153754
2021-10-26,841.5,841.5,815.5,818.5,800.7819213867188,125405
2021-10-27,815.0,822.5,814.5,817.0,799.3143920898438,122550
2021-10-28,816.0,818.5,810.1099853515625,813.5,795.89013671875,80588
2021-10-29,797.5,812.0,797.5,799.5,782.1931762695312,355227
2021-11-01,802.0,812.0,793.0,799.5,782.1931762695312,155823
2021-11-02,790.5,801.0,790.5,791.5,774.3663940429688,110261
2021-11-03,811.0,813.0,790.5,813.0,795.4009399414062,271550
2021-11-04,815.0,837.5,811.5,835.0,816.9247436523438,508910
2021-11-05,855.5,855.5,838.5,841.5,823.2839965820312,176972
2021-11-08,844.5,849.5,840.5,849.5,831.11083984375,108395
2021-11-09,849.5,852.0,835.0,835.5,817.4138793945312,169305
2021-11-10,830.5,842.5,825.4600219726562,829.5,811.5437622070312,154599
2021-11-11,827.0,839.5,817.5,839.5,821.3273315429688,149240
2021-11-12,854.5,854.5,829.5,837.0,818.8814086914062,143797
2021-11-15,859.0,859.0,834.6840209960938,841.5,823.2839965820312,145997
2021-11-16,819.0,856.0,819.0,850.0,831.6000366210938,229189
2021-11-17,842.0,858.0,842.0,852.5,834.0458984375,149542
2021-11-18,850.0,856.5,841.0,844.0,825.7299194335938,701425
2021-11-19,845.5,850.0,840.5,844.0,825.7299194335938,172271
2021-11-22,844.0,847.0,831.0,836.5,818.3922729492188,192437
2021-11-23,816.5,884.5,814.5,869.0,850.188720703125,584565
2021-11-24,856.5,867.0,840.0,852.0,833.5567016601562,1308609
2021-11-25,850.0,868.5,850.0,863.0,844.318603515625,204902
2021-11-26,842.0,858.5,841.0,845.0,826.708251953125,556510
2021-11-29,856.5,857.0,810.0,833.5,815.4572143554688,285652
2021-11-30,818.0,838.5,818.0,826.5,808.6087036132812,695273
2021-12-01,832.0,840.0,828.0,839.5,821.3273315429688,143449
2021-12-02,831.5,842.0,830.0,835.5,817.4138793945312,443355
2021-12-03,816.0,844.5,816.0,823.5,805.6736450195312,145732
2021-12-06,832.0,835.0,828.0,835.0,816.9247436523438,52860
2021-12-07,844.5,854.0,838.5,845.0,826.708251953125,169775
2021-12-08,860.0,860.0,842.0,846.0,827.6865844726562,131532
2021-12-09,855.0,855.0,834.5,841.0,822.7948608398438,119669
2021-12-10,841.0,842.5,825.5,830.0,812.032958984375,144988
2021-12-13,830.0,840.0,816.5,816.5,798.8251953125,157730
2021-12-14,800.5,829.0,800.5,801.0,783.6607055664062,317059
2021-12-15,796.5,815.5,796.5,815.5,797.8468627929688,401703
2021-12-16,818.0,836.25,818.0,829.0,811.0546264648438,123049
2021-12-17,849.0,849.0,823.5,829.5,811.5437622070312,237067
2021-12-20,810.0,823.5,810.0,820.5,802.7385864257812,100159
2021-12-21,831.0,831.0,817.5,818.5,800.7819213867188,106613
2021-12-22,815.0,832.5,815.0,832.5,814.4788208007812,152035
2021-12-23,850.0,850.0,832.2919921875,846.0,827.6865844726562,423078
2021-12-24,868.5,868.5,845.0,847.0,828.6649780273438,13303
2021-12-29,852.0,877.0,848.5,872.0,853.123779296875,267259
2021-12-30,851.5,875.0,851.5,869.5,850.6779174804688,75770
2021-12-31,890.0,890.0,865.0,865.5,846.7644653320312,61308
2022-01-04,871.0,902.0,869.0,896.0,876.604248046875,214098
2022-01-05,900.0,905.0,897.0,905.0,885.409423828125,159449
2022-01-06,885.5,897.5,885.5,886.5,867.3098754882812,1259267
2022-01-07,915.5,915.5,880.5,893.0,873.669189453125,272876
2022-01-10,889.5,893.5,849.2130126953125,851.5,833.0675659179688,267782
2022-01-11,863.0,863.5,845.5,847.0,828.6649780273438,138131
2022-01-12,854.0,870.5,849.0,861.0,842.3618774414062,359361
2022-01-13,880.0,880.0,854.0,860.0,841.383544921875,210677
2022-01-14,877.0,877.0,848.5,857.5,838.9376831054688,102425
2022-01-17,857.0,882.5,855.0,876.0,857.0371704101562,490387
2022-01-18,851.0,873.5,851.0,864.0,845.2969360351562,536852
2022-01-19,887.5,887.5,858.0,861.5,842.85107421875,706950
2022-01-20,864.0,869.0,860.5,866.0,847.253662109375,49444
2022-01-21,859.0,860.0,835.5,838.5,820.3489379882812,94466
2022-01-24,835.0,836.22998046875,790.0,790.0,772.8988647460938,174266
2022-01-25,803.5,804.2379760742188,788.0,799.5,782.1931762695312,270432
2022-01-26,776.5,826.0,776.5,807.5,790.02001953125,412926
2022-01-27,798.0,819.5,796.5,813.0,795.4009399414062,541531
2022-01-28,790.0,811.0,784.0,785.0,768.007080078125,400691
2022-01-31,794.5,800.0,787.8930053710938,794.5,777.3014526367188,391368
2022-02-01,816.5,816.5,796.0,799.5,782.1931762695312,220747
2022-02-02,808.0,813.5,801.0,804.0,786.5957641601562,368118
2022-02-03,806.5,811.5,788.0,788.0,770.942138671875,245978
2022-02-04,791.0,791.0,771.0,771.0,754.3101196289062,189121
2022-02-07,754.0,780.5,754.0,765.5,748.92919921875,289258
2022-02-08,770.0,773.0,757.5,764.5,747.9508666992188,121596
2022-02-09,780.5,788.5,769.5,785.0,768.007080078125,216925
2022-02-10,804.5,804.5,781.0,798.5,781.21484375,183968
2022-02-11,799.5,799.5,783.0,789.5,772.40966796875,141060
2022-02-14,776.0,782.0,760.5,775.0,758.2235717773438,318958
2022-02-15,769.5,792.5,768.5,792.0,774.8555297851562,165352
2022-02-16,810.0,810.0,767.5,770.5,753.8209838867188,1174464
2022-02-17,765.0,770.5,752.5,752.5,736.2106323242188,561284
2022-02-18,771.5,783.0,754.5,767.0,750.396728515625,232738
2022-02-21,765.0,766.0,741.0,749.5,733.2755737304688,139215
2022-02-22,730.5,760.5,730.5,753.5,737.18896484375,192136
2022-02-23,749.5,764.5,742.5,744.0,727.8945922851562,332429
2022-02-24,710.0,729.5,700.5,711.0,695.6089477539062,346330
2022-02-25,711.0,741.5,711.0,741.5,725.44873046875,216921
2022-02-28,737.5,745.5,723.5,745.5,729.3621215820312,278751
2022-03-01,749.0,749.0,700.0,700.0,684.8470458984375,265363
2022-03-02,709.0,721.2000122070312,694.0,714.5,699.033203125,310711
2022-03-03,703.5,721.0,676.5,680.0,665.280029296875,145113
2022-03-04,690.5,690.5,629.5,629.5,615.8731689453125,220126
2022-03-07,624.5,630.0,588.5,615.5,602.17626953125,420035
2022-03-08,614.5,636.5,612.0,619.5,606.0896606445312,747196
2022-03-09,630.0,667.0,626.0,662.0,647.669677734375,612806
2022-03-10,670.0,671.0,638.0,646.0,632.0159912109375,259604
2022-03-11,657.0,674.5,650.5,660.0,645.7129516601562,379551
2022-03-14,650.0,690.7869873046875,650.0,675.0,660.3882446289062,752222
2022-03-15,655.5,683.0,646.5,679.0,664.3016357421875,464399
2022-03-16,663.0,745.5,663.0,726.5,710.7734375,952151
2022-03-17,749.5,749.5,684.0,695.5,680.4444580078125,766722
2022-03-18,705.5,715.0,688.0,713.0,697.565673828125,826439
2022-03-21,693.5,714.5,693.5,701.5,686.3145751953125,136183
2022-03-22,707.5,708.0,692.5,700.0,684.8470458984375,346247
