Date,Open,High,Low,Close,Adj Close,Volume
2021-06-21,508.0,517.0,505.0,508.0,490.615966796875,179471
2021-06-22,511.0,516.0,509.0,509.0,491.5817565917969,60247
2021-06-23,508.0,515.0,505.0,505.0,487.7186279296875,68817
2021-06-24,515.0,515.0,504.6000061035156,515.0,497.3764343261719,72170
2021-06-25,510.0,514.4879760742188,505.0,505.0,487.7186279296875,28241
2021-06-28,506.0,525.75,506.0,525.0,507.03424072265625,30004
2021-06-29,525.0,532.6329956054688,521.0,521.0,503.1711120605469,145230
2021-06-30,529.0,535.0,517.0,525.0,507.03424072265625,283553
2021-07-01,538.0,550.0,521.0,532.0,513.794677734375,224762
2021-07-02,539.0,549.0,537.0,537.0,518.6235961914062,310537
2021-07-05,535.0,544.5,529.0,540.0,521.5209350585938,151674
2021-07-06,536.0,546.0,532.0,532.0,513.794677734375,71734
2021-07-07,540.0,543.0,535.0,540.0,521.5209350585938,242362
2021-07-08,537.0,546.0,531.0,535.0,516.6920166015625,463576
2021-07-09,533.0,542.0,530.0,533.0,514.7604370117188,64503
2021-07-12,539.0,540.0,521.0,537.0,518.6235961914062,49270
2021-07-13,544.0,544.0,530.0,530.0,511.8631286621094,98658
2021-07-14,543.0,543.0,533.5,537.0,518.6235961914062,33588
2021-07-15,544.0,548.0,530.0,530.0,511.8631286621094,172050
2021-07-16,533.0,533.0,527.0,530.0,511.8631286621094,93607
2021-07-19,530.0,530.0,512.75,520.0,502.205322265625,10144
2021-07-20,520.0,524.0,513.7680053710938,515.0,497.3764343261719,26675
2021-07-21,520.0,520.0,517.0,517.0,499.3079833984375,144602
2021-07-22,520.0,520.0,515.0,515.0,497.3764343261719,45270
2021-07-23,518.0,521.0,514.0,514.0,496.41064453125,64128
2021-07-26,520.0,520.0,514.0,516.0,498.34222412109375,52057
2021-07-27,513.0,519.0,513.0,514.0,496.41064453125,48157
2021-07-28,506.0,517.0,500.0,508.0,490.615966796875,874471
2021-07-29,512.0,512.0,506.0,510.0,492.54754638671875,31377
2021-07-30,510.0,510.0,506.0,509.0,491.5817565917969,90561
2021-08-02,512.0,515.0,507.0,510.0,492.54754638671875,97184
2021-08-03,509.0,510.0,500.0,510.0,492.54754638671875,40840
2021-08-04,507.0,512.25,506.0,509.0,491.5817565917969,30199
2021-08-05,508.0,515.0,504.5,509.0,491.5817565917969,49757
2021-08-06,516.0,520.0,511.0,520.0,502.205322265625,14894
2021-08-09,520.0,531.0,518.0,525.0,507.03424072265625,23582
2021-08-10,521.0,534.0,521.0,528.0,509.93157958984375,97690
2021-08-11,527.0,537.0,527.0,537.0,518.6235961914062,232209
2021-08-12,541.0,543.9849853515625,538.0,543.0,524.4182739257812,693065
2021-08-13,541.0,544.0,537.0,538.0,519.58935546875,171854
2021-08-16,536.0,545.718017578125,524.0,524.0,506.0684509277344,118513
2021-08-17,534.0,538.0,524.0,534.0,515.7262573242188,547416
2021-08-18,528.0,530.0419921875,516.0,526.0,508.0,115139
2021-08-19,512.0,530.0,510.0,530.0,530.0,176625
2021-08-20,521.0,524.0,507.0,519.0,519.0,41337
2021-08-23,513.0,515.0,512.0,514.0,514.0,30892
2021-08-24,505.0,532.0,505.0,520.0,520.0,269418
