Date,Open,High,Low,Close,Adj Close,Volume
2021-05-13,697.0,703.0,657.0,680.0,680.0,119097
2021-05-14,665.0,680.7899780273438,654.0,675.0,675.0,21980
2021-05-17,674.0,683.0,651.0,651.0,651.0,45154
2021-05-18,649.0,658.0,642.5449829101562,650.0,650.0,41028
2021-05-19,679.0,682.0,626.0,660.0,660.0,75129
2021-05-20,657.0,682.0,653.0,675.0,675.0,68139
2021-05-21,659.0,684.0,654.1959838867188,676.0,676.0,69605
2021-05-24,671.0,686.0,669.5,684.0,684.0,73560
2021-05-25,677.0,684.0,665.0,669.0,669.0,9344
2021-05-26,673.0,680.6519775390625,662.0,669.0,669.0,15135
2021-05-27,660.0,670.0,648.0,650.0,650.0,41304
2021-05-28,663.0,682.3499755859375,643.0,650.0,650.0,25092
2021-06-01,676.0,676.0,648.0,652.0,652.0,29659
2021-06-02,660.0,670.0,638.0,670.0,670.0,216702
2021-06-03,654.0,672.0,633.4760131835938,658.0,658.0,318456
2021-06-04,642.0,667.0,642.0,660.0,660.0,102970
2021-06-07,652.0,662.0,641.0,648.0,648.0,138285
2021-06-08,631.0,655.0,627.0,627.0,627.0,30520
2021-06-09,627.0,645.0,615.6220092773438,636.0,636.0,26866
2021-06-10,633.0,655.0,614.0,614.0,614.0,35668
2021-06-11,607.0,639.72802734375,600.0,600.0,600.0,19066
2021-06-14,600.0,633.0,592.5289916992188,630.0,630.0,29061
2021-06-15,627.0,636.0,616.0,620.0,620.0,30864
2021-06-16,616.0,624.0,614.0,620.0,620.0,23281
2021-06-17,619.0,637.0,608.0,628.0,628.0,17556
2021-06-18,620.0,630.0,607.7999877929688,620.0,620.0,133630
2021-06-21,605.0,636.0,603.9240112304688,631.0,631.0,31087
2021-06-22,622.0,648.0,621.0,639.0,639.0,29887
2021-06-23,634.0,741.0,634.0,724.0,724.0,451992
2021-06-24,722.0,792.239990234375,712.4000244140625,746.0,746.0,608305
2021-06-25,765.0,794.0,732.3599853515625,789.0,789.0,2006503
2021-06-28,792.0,798.0,776.0,782.0,782.0,232751
2021-06-29,798.0,798.0,769.0,783.0,783.0,647299
2021-06-30,792.0,870.0,775.0,859.0,859.0,146454
2021-07-01,849.0,870.0,817.0999755859375,838.0,838.0,27357
2021-07-02,817.0,870.0,810.0,863.0,863.0,54174
2021-07-05,875.0,956.9990234375,845.5800170898438,940.0,940.0,188923
2021-07-06,940.0,969.0,880.0,897.0,897.0,77899
2021-07-07,920.0,920.0,853.0,886.0,886.0,66520
2021-07-08,886.0,898.0,843.0,885.0,885.0,39999
2021-07-09,875.0,902.0,850.0,858.0,858.0,25027
2021-07-12,863.0,863.0,821.0,833.0,833.0,38995
2021-07-13,845.0,852.4000244140625,817.0,823.0,823.0,37329
2021-07-14,822.0,850.0,800.0,832.0,832.0,43888
2021-07-15,841.0,865.0,803.0700073242188,814.0,814.0,28917
2021-07-16,815.0,849.68701171875,764.0,771.0,771.0,78137
2021-07-19,751.0,810.0,721.1300048828125,746.0,746.0,108795
2021-07-20,743.0,766.0,728.0,766.0,766.0,111377
2021-07-21,790.0,812.4000244140625,761.0,764.0,764.0,40421
2021-07-22,783.0,821.7869873046875,781.239990234375,816.0,816.0,63795
2021-07-23,810.0,837.760009765625,790.0,799.0,799.0,47638
2021-07-26,806.0,834.0,782.0,782.0,782.0,26796
2021-07-27,790.0,809.0759887695312,774.0,790.0,790.0,22913
2021-07-28,779.0,804.0,770.0,793.0,793.0,26063
2021-07-29,798.0,814.0,744.0,784.0,784.0,17401
2021-07-30,776.0,813.0,761.6749877929688,797.0,797.0,45191
2021-08-02,806.0,823.0,768.0,768.0,768.0,22157
2021-08-03,774.0,783.1069946289062,760.2020263671875,773.0,773.0,19137
2021-08-04,769.0,792.0,763.0,763.0,763.0,7454
2021-08-05,764.0,808.0,763.0,796.0,796.0,13876
2021-08-06,782.0,794.0,767.9000244140625,782.0,782.0,33147
2021-08-09,765.0,795.5330200195312,765.0,782.0,782.0,31564
2021-08-10,762.0,809.0,738.8599853515625,766.0,766.0,37741
2021-08-11,742.0,759.0,729.5830078125,746.0,746.0,33375
2021-08-12,745.0,787.010009765625,745.0,755.0,755.0,20783
2021-08-13,764.0,794.0,753.6199951171875,770.0,770.0,19225
2021-08-16,773.0,797.0,764.0,780.0,780.0,19608
2021-08-17,782.0,783.0,754.0,754.0,754.0,19068
2021-08-18,764.0,772.0,739.8980102539062,757.0,757.0,13309
2021-08-19,761.0,778.0,740.0,750.0,750.0,22758
2021-08-20,742.0,765.47998046875,734.1010131835938,749.0,749.0,22007
2021-08-23,778.0,779.0,750.0,767.0,767.0,19382
2021-08-24,768.0,780.0,758.0889892578125,780.0,780.0,17536
2021-08-25,778.0,780.0,764.0,775.0,775.0,23810
2021-08-26,778.0,778.0,732.2310180664062,771.0,771.0,28286
2021-08-27,770.0,778.0,750.0,751.0,751.0,21457
2021-08-31,770.0,780.0,749.0,759.0,759.0,19389
2021-09-01,761.0,777.0,739.489990234375,765.0,765.0,18933
2021-09-02,762.0,773.0,755.0,755.0,755.0,8843
2021-09-03,745.0,797.0,745.0,770.0,770.0,40311
2021-09-06,761.0,786.0,753.0,770.0,770.0,31708
2021-09-07,768.0,794.3099975585938,764.6500244140625,771.0,771.0,31153
2021-09-08,778.0,789.0,765.0,773.0,773.0,15504
2021-09-09,792.0,794.0,730.0,746.0,746.0,27954
2021-09-10,731.0,744.0,711.0,733.0,733.0,48649
2021-09-13,744.0,744.0,733.0,737.0,737.0,901
2021-09-14,733.0,757.0,717.0,733.0,733.0,41711
2021-09-15,755.0,757.0,711.0,730.0,730.0,34022
2021-09-16,756.0,756.0,706.0880126953125,731.0,731.0,64547
2021-09-17,714.0,737.0,701.0,730.0,730.0,125952
2021-09-20,732.0,747.8099975585938,700.0,743.0,743.0,55034
2021-09-21,744.0,774.135986328125,704.0,722.0,722.0,92578
2021-09-22,707.0,730.0,690.0,716.0,716.0,67887
2021-09-23,706.0,720.0,687.0,698.0,698.0,127736
2021-09-24,719.0,719.0,685.0,708.0,708.0,56716
2021-09-27,720.0,720.0,678.2999877929688,700.0,700.0,39131
2021-09-28,700.0,701.5,677.0,699.0,699.0,64719
2021-09-29,691.0,714.0,674.0,686.0,686.0,21167
2021-09-30,677.0,697.0,662.0,672.0,672.0,47136
2021-10-01,660.0,699.0,657.0,685.0,685.0,46489
2021-10-04,679.0,699.2999877929688,666.6790161132812,685.0,685.0,28469
2021-10-05,685.0,705.02001953125,680.0,697.0,697.0,39610
2021-10-06,691.0,692.0,665.0,682.0,682.0,21470
2021-10-07,684.0,690.7319946289062,677.0,685.0,685.0,18341
2021-10-08,701.0,705.0,658.0,688.0,688.0,18203
2021-10-11,686.0,696.0,651.0,695.0,695.0,20829
2021-10-12,687.0,698.3800048828125,673.60302734375,685.0,685.0,12148
2021-10-13,660.0,692.0,660.0,687.0,687.0,11621
2021-10-14,681.0,696.1099853515625,665.0,687.0,687.0,17183
2021-10-15,691.0,704.0,685.0,685.0,685.0,12509
2021-10-18,677.0,709.0,673.7360229492188,695.0,695.0,21410
2021-10-19,695.0,709.0,669.1199951171875,707.0,707.0,79747
2021-10-20,707.0,739.0,696.0,726.0,726.0,93970
2021-10-21,729.0,768.4000244140625,721.52001953125,756.0,756.0,33317
2021-10-22,767.0,777.0,752.3400268554688,777.0,777.0,33602
2021-10-25,752.0,777.4000244140625,751.0,751.0,751.0,17547
2021-10-26,747.0,770.0,727.0,729.0,729.0,15924
2021-10-27,710.0,745.5079956054688,710.0,736.0,736.0,19448
2021-10-28,729.0,730.5,710.0,723.0,723.0,11265
2021-10-29,715.0,727.0,701.719970703125,708.0,708.0,25583
2021-11-01,679.0,736.0,677.8599853515625,736.0,736.0,38075
2021-11-02,731.0,741.0,708.0180053710938,720.0,720.0,19337
2021-11-03,731.0,750.1799926757812,708.719970703125,748.0,748.0,23894
2021-11-04,721.0,767.5,708.0,717.0,717.0,100138
2021-11-05,704.0,735.0,689.7420043945312,719.0,719.0,21985
2021-11-08,706.0,729.0,694.0,726.0,726.0,64234
2021-11-09,711.0,741.0,696.0,710.0,710.0,80498
2021-11-10,712.0,720.0,689.0,720.0,720.0,125730
2021-11-11,702.0,720.0,702.0,712.0,712.0,9726
2021-11-12,705.0,720.0,698.0,703.0,703.0,52662
2021-11-15,705.0,712.5800170898438,692.0,698.0,698.0,18622
2021-11-16,691.0,698.9329833984375,681.0,691.0,691.0,45954
2021-11-17,673.0,695.0,657.0,668.0,668.0,55395
2021-11-18,666.0,677.7210083007812,650.2100219726562,654.0,654.0,33949
2021-11-19,656.0,682.0,632.0,677.0,677.0,82963
2021-11-22,658.0,674.0,634.0,641.0,641.0,102441
2021-11-23,635.0,635.0,602.0,617.0,617.0,64214
2021-11-24,600.0,626.0,600.0,610.0,610.0,26740
2021-11-25,646.0,646.0,572.0,590.0,590.0,107121
2021-11-26,586.0,609.0,569.989990234375,595.0,595.0,50469
2021-11-29,551.0,594.0,551.0,588.0,588.0,277111
2021-11-30,573.0,583.0,547.0,560.0,560.0,49431
2021-12-01,562.0,582.4400024414062,554.0,558.0,558.0,50950
2021-12-02,555.0,573.0,551.0,567.0,567.0,28279
2021-12-03,564.0,570.0,550.0,555.0,555.0,27653
2021-12-06,557.0,560.0,539.0,546.0,546.0,32075
