Date,Open,High,Low,Close,Adj Close,Volume
2021-05-12,2955.0,2955.0,2715.0,2730.0,2730.0,24655
2021-05-13,2700.0,2760.0,2655.0,2735.0,2735.0,30456
2021-05-14,2700.0,2765.0,2665.0,2745.0,2745.0,22711
2021-05-17,2660.0,2780.0,2660.0,2745.0,2745.0,21818
2021-05-18,2795.0,2885.0,2745.0,2865.0,2865.0,54059
2021-05-19,2870.0,2945.0,2745.0,2795.0,2795.0,29021
2021-05-20,2800.0,2890.0,2790.0,2860.0,2860.0,24970
2021-05-21,2855.0,2870.0,2800.0,2815.0,2815.0,30050
2021-05-24,2850.0,2856.56298828125,2662.64990234375,2700.0,2700.0,94715
2021-05-25,2625.0,2755.0,2535.0,2535.0,2535.0,113140
2021-05-26,2560.0,2585.0,2520.0,2570.0,2570.0,58130
2021-05-27,2575.0,2625.0,2475.0,2510.0,2510.0,62149
2021-05-28,2425.0,2605.0,2425.0,2570.0,2570.0,44723
2021-06-01,2500.0,2600.0,2500.0,2520.0,2520.0,64993
2021-06-02,2515.0,2520.0,2425.0,2440.0,2440.0,54214
2021-06-03,2550.0,2550.0,2437.199951171875,2475.0,2475.0,42447
2021-06-04,2515.0,2705.0,2480.0,2690.0,2690.0,115429
2021-06-07,2705.0,2785.0,2585.0,2600.0,2600.0,43573
2021-06-08,2620.0,2700.0,2565.0,2600.0,2600.0,28875
2021-06-09,2605.0,2645.0,2595.0,2625.0,2625.0,30273
2021-06-10,2715.0,2715.0,2585.0,2630.0,2630.0,28448
2021-06-11,2490.0,2635.0,2187.72998046875,2320.0,2320.0,453191
2021-06-14,2330.0,2419.81298828125,2245.0,2400.0,2400.0,110148
2021-06-15,2500.0,2500.0,2395.0,2410.0,2410.0,76585
2021-06-16,2410.0,2470.0,2385.0,2400.0,2400.0,72541
2021-06-17,2350.0,2436.159912109375,2270.0,2330.0,2330.0,128448
2021-06-18,2390.0,2400.0,2320.0,2345.0,2345.0,71047
2021-06-21,2350.0,2370.0,2235.0,2265.0,2265.0,38375
2021-06-22,2220.0,2290.0,2210.0,2285.0,2285.0,36088
2021-06-23,2245.0,2330.0,2240.0,2310.0,2310.0,67767
2021-06-24,2330.0,2410.0,2305.0,2385.0,2385.0,190624
2021-06-25,2300.0,2405.0,2300.0,2370.0,2370.0,21769
2021-06-28,2385.0,2440.0,2350.0,2420.0,2420.0,21091
2021-06-29,2415.0,2430.0,2360.0,2385.0,2385.0,55162
2021-06-30,2340.0,2405.0,2285.0,2310.0,2310.0,52082
2021-07-01,2310.0,2330.0,2255.0,2295.0,2295.0,40635
2021-07-02,2350.0,2360.0,2275.0,2335.0,2335.0,32229
