Date,Open,High,Low,Close,Adj Close,Volume
2021-06-21,261.5,275.0,257.75799560546875,268.5,258.9975280761719,225009
2021-06-22,276.0,276.0,265.5,272.0,262.3736572265625,292777
2021-06-23,274.5,277.0,271.5,273.0,263.3382568359375,469878
2021-06-24,267.0,275.5,267.0,271.0,261.4090270996094,188884
2021-06-25,283.5,283.5,267.0,268.0,258.5152282714844,134594
2021-06-28,265.5,271.739990234375,263.0,270.0,260.4444274902344,195220
2021-06-29,279.0,284.5,253.5,271.5,261.891357421875,342455
2021-06-30,274.5,276.0,264.5,270.0,260.4444274902344,368640
2021-07-01,269.0,279.0,269.0,275.0,265.2674865722656,374288
2021-07-02,274.5,282.0,274.0,278.0,268.16131591796875,323025
2021-07-05,274.0,281.0,272.0,281.0,271.0551452636719,108461
2021-07-06,271.5,281.5,271.5,279.5,269.60821533203125,498285
2021-07-07,279.0,284.0,279.0,283.5,273.4666748046875,209571
2021-07-08,281.5,284.5,272.5,274.0,264.3028869628906,120793
2021-07-09,275.0,280.5,275.0,280.5,270.5728454589844,73815
2021-07-12,285.0,295.0,274.5,292.0,281.66583251953125,744925
2021-07-13,284.5,294.239990234375,272.5,287.0,276.8427734375,448434
2021-07-14,284.5,287.5,284.0,285.5,275.3958740234375,256306
2021-07-15,281.5,285.94000244140625,280.0379943847656,281.5,271.5374450683594,56540
2021-07-16,282.0,293.0,273.5,277.5,267.67901611328125,128315
2021-07-19,291.0,291.0,266.5,267.5,258.0329284667969,129198
2021-07-20,255.5,290.0,255.5,282.5,272.5020446777344,960778
2021-07-21,269.5,300.5,269.5,293.0,282.63043212890625,472034
2021-07-22,295.0,307.5,283.5,302.5,291.79425048828125,413600
2021-07-23,302.0,310.0,299.0,303.0,292.27655029296875,217181
2021-07-26,300.0,308.5,298.0,298.5,287.935791015625,211843
2021-07-27,296.5,297.5,293.0,296.0,285.5242919921875,104887
2021-07-28,295.5,301.5,294.8819885253906,298.0,287.4534912109375,306940
2021-07-29,287.0,311.0,287.0,308.5,297.5819091796875,941958
2021-07-30,300.0,305.5,300.0,302.0,291.31195068359375,137329
2021-08-02,292.5,305.5,292.5,295.5,285.0419616699219,381018
2021-08-03,293.0,319.5,290.0,305.0,294.20574951171875,535126
2021-08-04,307.5,318.0,302.5,308.0,297.0995788574219,348141
2021-08-05,309.5,313.0,305.45001220703125,310.0,299.02880859375,245288
2021-08-06,308.0,311.8500061035156,301.5,304.0,293.24114990234375,245174
