Date,Open,High,Low,Close,Adj Close,Volume,macd,signal,macd_diff,crossover,crossunder,lowest_MACD,MACD_ratio,lowest_Low,MACD_up,state,screen_passed,marker
2021-04-28,830.0,834.0,818.0,827.0,827.0,635052,0.0,0.0,0.0,False,False,,0.0,,False,"(0, 0, 0, 0)",False,
2021-04-29,828.0,845.0,811.0,840.0,840.0,4003443,0.29166666666662877,0.16203703703701597,0.1296296296296128,True,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-04-30,839.0,847.0,836.2630004882812,843.0,843.0,335510,0.4646710458171128,0.2860673685042687,0.1786036773128441,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-05-04,846.0,846.0,809.0,810.0,810.0,1164762,-0.6594835095803546,-0.034241194532527774,-0.6252423150478268,False,True,,,,False,"(0, 0, 0, 0)",False,
2021-05-05,805.0,829.0,790.0,797.0,797.0,307091,-1.7737484108615718,-0.5517052641211295,-1.2220431467404422,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-05-06,820.0,829.0,767.0,772.0,772.0,430147,-3.479246793445782,-1.3452317867284274,-2.1340150067173544,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-05-07,781.0,805.0,763.0,767.0,767.0,339675,-4.739579131703749,-2.2042505467945,-2.5353285849092493,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-05-10,780.0,785.0800170898438,762.0,777.0,777.0,337176,-5.032866435928895,-2.88402013708708,-2.148846298841815,False,False,,,,True,"(0, 0, 0, 0)",False,
2021-05-11,778.0,781.1489868164062,732.0,751.0,751.0,540901,-6.44933981020904,-3.7076266692203594,-2.74171314098868,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-05-12,765.0,765.0,735.0,735.0,735.0,244851,-8.184466949104262,-4.710698772135951,-3.4737681769683117,False,False,,,,False,"(0, 0, 0, 0)",False,
2021-05-13,730.0,752.0,720.989990234375,740.0,740.0,378199,-9.05713907017764,-5.661675074065453,-3.3954639961121877,False,False,,,,True,"(0, 0, 0, 0)",False,
2021-05-14,745.0,752.0,735.0,739.0,739.0,137467,-9.62864891655147,-6.513614686972284,-3.1150342295791855,False,False,,,,True,"(0, 0, 0, 0)",False,
2021-05-17,725.0,752.0,725.0,735.0,735.0,165867,-10.15072079893639,-7.283352704389689,-2.867368094546702,False,False,,,,True,"(0, 0, 0, 0)",False,
2021-05-18,740.0,753.0,737.0,744.0,744.0,161740,-9.888056342819937,-7.828258648959697,-2.05979769386024,False,False,,,,True,"(0, 0, 0, 0)",False,
2021-05-19,746.0,751.0,737.0,746.0,746.0,222931,-9.445122399582488,-8.163423980832132,-1.2816984187503557,False,False,,,,True,"(0, 0, 0, 0)",False,
2021-05-20,750.0,775.0,742.0,770.0,770.0,259314,-7.5347198735451,-8.034041362424418,0.4993214888793176,True,False,,0.0,,True,"(0, 0, 0, 0)",False,
2021-05-21,766.0,784.0,765.948974609375,776.0,776.0,204873,-5.6129590653846435,-7.538670134631983,1.9257110692473391,False,False,,0.0,,True,"(0, 0, 0, 0)",False,
