Date,Open,High,Low,Close,Adj Close,Volume
2021-05-12,1634.0,1655.0,1633.0,1639.0,1631.697021484375,1455290
2021-05-13,1630.0,1643.0,1610.0,1640.0,1632.692626953125,728447
2021-05-14,1645.0,1656.0,1637.0,1653.0,1645.6346435546875,426322
2021-05-17,1658.0,1661.1800537109375,1645.0,1649.0,1641.6524658203125,767372
2021-05-18,1663.0,1667.0,1647.0,1649.0,1641.6524658203125,358746
2021-05-19,1643.0,1651.0,1611.0,1629.0,1621.7415771484375,691004
2021-05-20,1636.0,1647.0,1617.0,1628.0,1620.74609375,944805
2021-05-21,1622.0,1653.0,1622.0,1643.0,1635.67919921875,636905
2021-05-24,1647.0,1653.0,1639.0,1648.0,1640.656982421875,461141
2021-05-25,1660.0,1660.0,1646.0,1654.0,1646.6302490234375,605729
2021-05-26,1660.0,1660.0,1637.0,1652.0,1644.63916015625,557557
2021-05-27,1651.0,1681.1400146484375,1649.0,1677.0,1669.5277099609375,1207693
2021-05-28,1686.0,1686.0,1655.0,1660.0,1652.603515625,582684
2021-06-01,1660.0,1732.0,1656.0,1701.0,1693.4207763671875,1655009
2021-06-02,1700.0,1712.0,1693.0,1709.0,1701.3851318359375,693447
2021-06-03,1707.0,1707.0,1682.0,1695.0,1687.447509765625,785121
2021-06-04,1695.0,1734.0,1691.0,1729.0,1721.2960205078125,685870
2021-06-07,1726.0,1741.0,1723.0,1733.0,1725.2781982421875,627018
2021-06-08,1731.0,1738.0,1722.0,1726.0,1718.309326171875,504867
2021-06-09,1726.0,1726.0,1705.0,1723.0,1715.32275390625,560046
2021-06-10,1727.0,1728.0,1692.0,1701.0,1693.4207763671875,536619
2021-06-11,1701.0,1718.0,1696.0,1702.0,1694.4163818359375,538719
2021-06-14,1706.0,1717.0,1694.0,1703.0,1695.411865234375,417481
2021-06-15,1700.0,1714.0,1695.0,1696.0,1688.443115234375,704493
2021-06-16,1687.0,1702.0,1682.0,1698.0,1690.4342041015625,1010216
2021-06-17,1687.0,1711.0,1680.0,1698.0,1690.4342041015625,676905
2021-06-18,1704.0,1714.0,1682.280029296875,1685.0,1677.4920654296875,1275223
2021-06-21,1649.0,1711.0,1649.0,1711.0,1703.376220703125,377321
2021-06-22,1710.0,1717.0,1698.0,1714.0,1706.36279296875,471021
2021-06-23,1757.0,1757.0,1713.2850341796875,1716.0,1708.3538818359375,700879
2021-06-24,1721.0,1738.0,1716.0,1722.0,1714.3271484375,888785
2021-06-25,1723.0,1739.0,1714.0,1739.0,1731.25146484375,386248
2021-06-28,1737.0,1742.0,1718.0,1730.0,1722.29150390625,382373
2021-06-29,1732.0,1752.0,1731.0,1738.0,1730.255859375,584126
2021-06-30,1747.0,1747.0,1716.5,1720.0,1712.3360595703125,952263
2021-07-01,1728.0,1753.9599609375,1728.0,1744.0,1736.2291259765625,563890
2021-07-02,1754.0,1757.0,1736.0,1748.0,1740.2113037109375,307677
2021-07-05,1718.0,1738.0,1702.0,1733.0,1725.2781982421875,385072
2021-07-06,1726.0,1739.0,1711.0,1714.0,1706.36279296875,375807
2021-07-07,1732.0,1747.0,1720.0,1738.0,1730.255859375,772772
2021-07-08,1750.0,1754.0,1698.3199462890625,1716.0,1708.3538818359375,551760
2021-07-09,1718.0,1742.0,1711.0,1741.0,1733.2425537109375,698351
2021-07-12,1741.0,1748.0,1728.0,1742.0,1734.238037109375,430385
2021-07-13,1750.0,1766.0,1741.0,1761.0,1753.1534423828125,518497
2021-07-14,1757.0,1761.0,1737.0,1748.0,1740.2113037109375,347698
2021-07-15,1741.0,1758.0,1727.0,1732.0,1724.2825927734375,446367
2021-07-16,1728.0,1739.0,1702.0,1713.0,1705.3673095703125,531949
2021-07-19,1679.0,1706.0,1659.0,1666.0,1658.5767822265625,754865
2021-07-20,1649.0,1704.0,1649.0,1690.0,1682.4698486328125,663835
2021-07-21,1707.0,1716.0,1697.0,1706.0,1698.3985595703125,623185
2021-07-22,1723.0,1732.0,1701.0,1714.0,1706.36279296875,420024
2021-07-23,1703.0,1736.0,1703.0,1729.0,1721.2960205078125,550953
2021-07-26,1763.0,1763.0,1715.0,1738.0,1730.255859375,581034
2021-07-27,1723.0,1751.0,1715.0,1742.0,1734.238037109375,345336
2021-07-28,1741.0,1756.0,1733.0,1744.0,1736.2291259765625,547762
2021-07-29,1741.0,1766.0,1736.0,1751.0,1743.197998046875,1211028
2021-07-30,1767.0,1798.0,1724.0,1756.0,1748.1756591796875,797823
2021-08-02,1800.0,1822.0,1707.0,1732.0,1724.2825927734375,605909
2021-08-03,1729.0,1730.0,1702.0,1728.0,1720.3004150390625,373625
2021-08-04,1740.0,1744.0,1712.0,1719.0,1711.340576171875,539818
2021-08-05,1722.0,1728.0,1712.0,1722.0,1714.3271484375,390159
2021-08-06,1726.0,1731.0,1717.0,1719.0,1711.340576171875,212045
2021-08-09,1715.0,1722.0,1698.7879638671875,1720.0,1712.3360595703125,380096
2021-08-10,1719.0,1758.0,1150.0899658203125,1758.0,1750.166748046875,402504
2021-08-11,1790.0,1790.0,1732.5460205078125,1773.0,1765.0999755859375,1092921
2021-08-12,1760.0,1786.47998046875,1760.0,1783.0,1783.0,593515
2021-08-13,1776.0,1796.0,1772.0,1788.0,1788.0,436868
2021-08-16,1749.0,1789.0,1749.0,1772.0,1772.0,300496
2021-08-17,1779.0,1791.0,1763.0,1780.0,1780.0,761115
2021-08-18,1788.0,1794.0,1777.2750244140625,1790.0,1790.0,311753
2021-08-19,1800.0,1800.0,1757.0,1769.0,1769.0,369368
2021-08-20,1765.0,1778.053955078125,1756.0,1767.0,1767.0,448549
2021-08-23,1785.0,1788.0,1758.0,1760.0,1760.0,444831
2021-08-24,1757.0,1771.0,1754.0,1767.0,1767.0,326314
2021-08-25,1768.0,1790.0,1767.0,1786.0,1786.0,427790
2021-08-26,1741.0,1790.0,1741.0,1790.0,1790.0,245579
2021-08-27,1804.0,1804.0,1772.738037109375,1800.0,1800.0,420428
2021-08-31,1754.0,1826.0,1754.0,1823.0,1823.0,743737
2021-09-01,1842.0,1842.0,1811.0,1818.0,1818.0,381061
2021-09-02,1807.0,1828.0,1807.0,1827.0,1827.0,694947
2021-09-03,1862.0,1862.0,1805.0,1810.0,1810.0,369746
2021-09-06,1822.0,1822.0,1808.0,1808.0,1808.0,279725
2021-09-07,1783.0,1805.0,1783.0,1801.0,1801.0,345320
2021-09-08,1781.0,1789.0,1763.0,1782.0,1782.0,383110
2021-09-09,1772.0,1808.0,1767.0,1798.0,1798.0,576980
2021-09-10,1792.0,1812.0,1792.0,1801.0,1801.0,228068
2021-09-13,1811.0,1828.0,1811.0,1816.0,1816.0,12683
2021-09-14,1859.0,1859.0,1812.0,1820.0,1820.0,209697
2021-09-15,1824.0,1824.0,1797.0,1797.0,1797.0,374312
2021-09-16,1807.0,1833.0,1801.0,1818.0,1818.0,407922
2021-09-17,1857.0,1857.0,1802.0,1802.0,1802.0,1105798
2021-09-20,1774.0,1791.0,1762.0,1768.0,1768.0,573178
2021-09-21,1783.0,1806.0,1777.0,1784.0,1784.0,536829
2021-09-22,1755.0,1822.0,1755.0,1819.0,1819.0,432453
2021-09-23,1835.0,1835.0,1811.0,1811.0,1811.0,563330
2021-09-24,1797.0,1824.0,1796.0,1820.0,1820.0,767610
2021-09-27,1838.0,1856.760009765625,1716.0,1716.0,1716.0,867914
2021-09-28,1716.0,1719.1800537109375,1651.0,1664.0,1664.0,720639
2021-09-29,1662.0,1697.0,1660.8199462890625,1666.0,1666.0,618757
2021-09-30,1669.0,1697.0,1660.0,1660.0,1660.0,659426
2021-10-01,1637.0,1657.0,1619.0,1646.0,1646.0,648701
2021-10-04,1640.0,1650.0,1624.5250244140625,1631.0,1631.0,476428
2021-10-05,1638.0,1654.0,1630.0,1649.0,1649.0,601506
2021-10-06,1635.0,1644.0,1599.0,1625.0,1625.0,500016
2021-10-07,1643.0,1648.0,1633.0,1644.0,1644.0,501768
