Date,Open,High,Low,Close,Adj Close,Volume
2021-05-27,1361.0,1399.5,1345.5,1345.5,1345.5,754541
2021-05-28,1352.0,1377.0,1339.5699462890625,1350.0,1350.0,544146
2021-06-01,1376.5,1382.5,1350.0,1360.0,1360.0,610881
2021-06-02,1400.0,1400.0,1338.0,1357.5,1357.5,284026
2021-06-03,1350.0,1444.800048828125,1259.0,1293.0,1293.0,9506074
2021-06-04,1298.5,1303.5,1273.0,1303.0,1303.0,2015112
2021-06-07,1300.0,1313.5,1276.5,1282.5,1282.5,782238
2021-06-08,1276.0,1295.0,1259.0,1267.5,1267.5,1251750
2021-06-09,1260.0,1320.0,1260.0,1290.0,1290.0,603786
2021-06-10,1292.0,1317.5,1253.0,1271.0,1271.0,818455
2021-06-11,1273.5,1292.0,1260.0,1279.0,1279.0,698891
2021-06-14,1260.0,1285.5,1236.5,1240.0,1240.0,549859
2021-06-15,1230.5,1266.5,1224.0,1232.5,1232.5,598561
2021-06-16,1230.0,1244.5,1215.0,1225.0,1225.0,620606
2021-06-17,1240.0,1296.0,1240.0,1276.0,1276.0,1460796
2021-06-18,1269.0,1289.0,1216.5,1238.0,1238.0,808973
2021-06-21,1250.0,1250.0,1196.5,1231.5,1231.5,532407
2021-06-22,1275.0,1275.0,1214.5,1228.0,1228.0,845793
2021-06-23,1235.5,1295.0,1215.0,1275.5,1275.5,1045723
2021-06-24,1272.0,1299.5,1251.5,1269.0,1269.0,661304
2021-06-25,1288.0,1293.5,1230.0,1245.0,1245.0,831774
2021-06-28,1242.0,1250.5,1175.0,1177.5,1177.5,653221
2021-06-29,1180.0,1204.875,1160.0,1179.5,1179.5,682146
2021-06-30,1172.5,1230.5,1159.875,1183.5,1183.5,1298140
2021-07-01,1200.0,1237.5,1189.0,1219.0,1219.0,2098541
2021-07-02,1240.0,1248.0,1219.0,1245.5,1245.5,343666
2021-07-05,1246.0,1270.0,1235.0,1254.5,1254.5,454403
2021-07-06,1268.0,1293.0,1244.0,1262.0,1262.0,1782437
2021-07-07,1274.0,1293.0,1225.5,1238.0,1238.0,545403
2021-07-08,1229.0,1254.5,1150.5,1177.0,1177.0,4187622
2021-07-09,1190.0,1233.0,1185.0,1223.5,1223.5,1055860
2021-07-12,1207.0,1242.5,1149.5,1163.0,1163.0,963258
2021-07-13,1165.0,1200.5,1146.0,1150.5,1150.5,881763
2021-07-14,1142.5,1155.5,1093.5,1099.5,1099.5,1955495
2021-07-15,1092.5,1111.0,1059.0,1075.0,1075.0,1125351
2021-07-16,1081.0,1121.0,1074.0,1096.5,1096.5,1593101
2021-07-19,1056.5,1098.5,1020.0,1044.0,1044.0,1096662
2021-07-20,1053.0,1079.0,1027.0,1050.0,1050.0,1119787
2021-07-21,1057.5,1148.0,1057.5,1134.0,1134.0,1878524
2021-07-22,1151.0,1188.5,1142.0,1147.5,1147.5,814128
2021-07-23,1120.5,1173.0,1120.0,1145.5,1145.5,423742
