Date,Open,High,Low,Close,Adj Close,Volume
2021-06-01,402.0,412.739990234375,366.5,393.5,393.5,275685
2021-06-02,414.0,414.0,389.0,394.0,394.0,78977
2021-06-03,389.5,413.2640075683594,384.5,389.5,389.5,143592
2021-06-04,392.0,392.0,377.5,382.0,382.0,164442
2021-06-07,400.0,400.0,380.5,386.0,386.0,93765
2021-06-08,395.0,401.5,377.5,392.0,392.0,34323
2021-06-09,408.0,411.0,385.0,390.0,390.0,93991
2021-06-10,383.5,388.5,375.0,380.0,380.0,215712
2021-06-11,397.0,397.0,374.0,377.0,377.0,52800
2021-06-14,372.0,390.0,368.0,369.5,369.5,130748
2021-06-15,369.0,369.0,359.5,363.5,363.5,267158
2021-06-16,363.5,363.5,251.25,349.5,349.5,309492
2021-06-17,349.5,358.5,347.5,353.0,353.0,170857
2021-06-18,360.0,360.0,347.0,359.5,359.5,406523
2021-06-21,350.0,369.5,341.0,343.0,343.0,196255
2021-06-22,336.0,354.0,335.5,347.0,347.0,170646
2021-06-23,351.0,351.0,338.5,346.0,346.0,271909
2021-06-24,355.0,357.5,340.0,341.0,341.0,229393
2021-06-25,337.5,345.0,332.0,345.0,345.0,63954
2021-06-28,358.0,358.0,343.5,343.5,343.5,213946
2021-06-29,365.5,365.5,339.3599853515625,347.0,347.0,399545
2021-06-30,350.0,350.0,340.5,341.0,341.0,239400
2021-07-01,351.5,357.5,335.5,343.0,343.0,184268
2021-07-02,339.5,349.92999267578125,339.5,343.5,343.5,156321
2021-07-05,350.0,350.0,339.5,343.5,343.5,71641
2021-07-06,342.5,349.5,339.5,344.5,344.5,154556
2021-07-07,333.5,349.5,333.5,340.5,340.5,147029
2021-07-08,333.5,343.5,331.55999755859375,340.5,340.5,197286
2021-07-09,333.5,345.0,332.6099853515625,341.5,341.5,87413
2021-07-12,332.0,351.5,332.0,343.0,343.0,118700
2021-07-13,361.5,368.04998779296875,340.0,349.0,349.0,270194
2021-07-14,342.0,347.17401123046875,333.5,334.0,334.0,127057
2021-07-15,333.0,335.8399963378906,330.0,330.0,330.0,159395
2021-07-16,323.0,328.0,316.0,323.0,323.0,217029
2021-07-19,314.0,326.0,312.0,324.0,324.0,181810
2021-07-20,326.5,333.0,320.0,323.0,323.0,241100
2021-07-21,336.0,338.85198974609375,330.0,333.5,333.5,211972
2021-07-22,345.0,357.5199890136719,336.5,343.0,343.0,300383
2021-07-23,335.0,348.5,335.0,344.5,344.5,154584
2021-07-26,353.0,353.0,337.5,337.5,337.5,100003
2021-07-27,332.5,349.5,330.0,337.0,337.0,469369
2021-07-28,330.0,330.0,322.6310119628906,329.5,329.5,415504
2021-07-29,328.5,330.0,318.0,322.5,322.5,149700
2021-07-30,318.5,326.5,305.3900146484375,321.5,321.5,185981
2021-08-02,328.5,329.39898681640625,323.0,325.0,325.0,300802
2021-08-03,318.5,330.0,298.3489990234375,326.5,326.5,136429
2021-08-04,328.0,330.0,321.0190124511719,328.0,328.0,142114
2021-08-05,324.0,328.0,323.5,324.5,324.5,144824
2021-08-06,320.5,328.0,318.5,322.5,322.5,91208
2021-08-09,315.5,325.0,313.1400146484375,323.0,323.0,161155
2021-08-10,330.0,330.5299987792969,324.5,330.0,330.0,343815
2021-08-11,323.0,330.0,320.0,330.0,330.0,136817
2021-08-12,330.0,330.0,325.0,325.0,325.0,93320
2021-08-13,325.0,334.0,325.0,329.5,329.5,153075
2021-08-16,322.5,328.3789978027344,310.7449951171875,321.0,321.0,87880
2021-08-17,320.0,337.3399963378906,320.0,336.5,336.5,119260
2021-08-18,329.5,343.54998779296875,329.5,335.5,335.5,141474
2021-08-19,331.5,343.82000732421875,326.0,332.5,332.5,56958
