Date,Open,High,Low,Close,Adj Close,Volume
2021-05-12,186.0,189.0,182.0,183.5,183.5,124727
2021-05-13,180.0,187.0,180.0,180.0,180.0,73019
2021-05-14,184.0,188.0,184.0,186.5,186.5,44221
2021-05-17,188.0,188.0,188.0,189.0,189.0,28000
2021-05-18,190.0,200.0,190.0,203.0,203.0,39513
2021-05-19,204.0,204.0,202.66700744628906,202.0,202.0,1700
2021-05-20,204.0,204.0,200.0,202.0,202.0,36339
2021-05-21,200.0,204.0,200.0,205.0,205.0,19605
2021-05-24,206.0,208.0,203.5,206.0,206.0,23402
2021-05-25,210.0,212.0,210.0,211.0,211.0,95853
2021-05-26,214.0,216.0,210.0,213.0,213.0,25729
2021-05-27,216.0,220.0,215.0,219.0,219.0,96454
2021-05-28,220.0,220.0,218.0,219.0,219.0,54334
2021-06-01,218.0,219.0,218.0,219.0,219.0,16226
2021-06-02,220.0,223.0,220.0,223.0,223.0,26682
2021-06-03,226.0,226.0,216.0,220.0,220.0,16190
2021-06-04,220.0,220.0,216.0,218.0,218.0,23617
2021-06-07,220.0,223.0,216.0,218.0,218.0,150942
2021-06-08,218.0,222.0,214.5,218.0,218.0,67858
2021-06-09,222.0,222.0,214.16000366210938,218.0,218.0,14920
2021-06-10,214.0,220.0,214.0,214.0,214.0,5271
2021-06-11,214.0,224.0,214.0,220.0,220.0,21535
2021-06-14,216.0,222.0,206.0,209.0,209.0,98463
2021-06-15,212.0,212.0,204.0,204.0,204.0,21159
2021-06-16,206.0,208.99000549316406,206.0,206.0,206.0,10329
2021-06-17,206.0,212.0,204.0,206.0,206.0,18267
2021-06-18,206.0,206.0,194.0,194.0,194.0,307705
2021-06-21,202.0,202.0,195.0,196.0,196.0,37933
2021-06-22,196.0,197.9600067138672,192.39999389648438,194.0,194.0,50978
2021-06-23,196.0,196.0,192.0,194.0,194.0,21032
2021-06-24,198.0,198.0,192.08399963378906,194.0,194.0,25041
2021-06-25,194.47999572753906,194.47999572753906,194.0,195.5,195.5,74323
2021-06-28,195.0,195.0,193.39999389648438,194.0,194.0,108954
2021-06-29,195.8000030517578,195.8000030517578,195.8000030517578,195.0,195.0,15060
2021-06-30,197.0,210.0,196.4600067138672,205.0,205.0,60500
2021-07-01,204.0,208.0,203.27999877929688,204.0,204.0,12581
2021-07-02,208.0,210.0,204.0,208.0,208.0,50793
2021-07-05,208.4250030517578,210.0,208.3800048828125,208.0,208.0,13649
2021-07-06,204.0,216.0,204.0,206.0,206.0,48325
2021-07-07,208.0,211.75,208.0,208.0,208.0,49137
2021-07-08,208.0,208.0,202.0,204.0,204.0,39421
2021-07-09,200.0,200.0,200.0,200.0,200.0,17045
2021-07-12,200.0,208.0,200.0,205.0,205.0,53996
2021-07-13,204.0,207.89999389648438,200.0,200.0,200.0,66220
2021-07-14,200.0,208.0,200.0,203.0,203.0,107078
2021-07-15,202.0,206.0,202.0,206.0,206.0,70609
2021-07-16,202.0,207.8800048828125,202.0,206.0,206.0,17611
2021-07-19,204.0,207.75,200.0,203.0,203.0,117877
2021-07-20,206.0,216.0,206.0,208.0,208.0,74732
2021-07-21,204.0,210.0,204.0,206.0,206.0,47481
2021-07-22,204.0,210.0,204.0,210.0,210.0,64372
2021-07-23,206.0,210.0,206.0,211.0,211.0,33429
2021-07-26,208.0,212.0,208.0,210.0,210.0,33473
2021-07-27,204.0,211.9199981689453,204.0,204.0,204.0,77082
2021-07-28,204.0,210.0,200.0,202.0,202.0,141686
2021-07-29,208.0,210.0,202.0,203.0,203.0,187075
2021-07-30,200.0,210.0,200.0,210.0,210.0,150385
2021-08-02,206.0,209.9600067138672,202.0,206.0,206.0,42757
2021-08-03,208.0,210.0,202.0,207.0,207.0,30018
2021-08-04,202.0,209.1199951171875,202.0,202.0,202.0,10529
2021-08-05,204.0,206.0,200.0,203.0,203.0,145452
2021-08-06,202.0,205.91600036621094,202.0,202.0,202.0,5335
2021-08-09,205.0,205.91600036621094,202.0,203.0,203.0,25580
2021-08-10,202.0,206.0,202.0,202.0,202.0,21379
2021-08-11,200.0,204.0,200.0,202.0,202.0,407030
2021-08-12,202.0,202.0,199.8520050048828,200.0,200.0,35015
2021-08-13,198.0,200.0,192.0,192.0,192.0,190444
2021-08-16,194.0,195.3000030517578,189.0,193.0,193.0,277415
2021-08-17,190.0,193.0,190.0,191.5,191.5,131567
2021-08-18,193.0,193.0,190.0,191.0,191.0,6056
2021-08-19,192.0,192.0,189.4949951171875,190.0,190.0,155046
2021-08-20,190.0,192.0,189.0,192.0,192.0,124439
2021-08-23,193.0,193.5,190.0,193.5,193.5,32990
2021-08-24,192.0,193.47999572753906,191.0,191.5,191.5,48845
2021-08-25,191.0,192.9499969482422,190.74000549316406,191.5,191.5,157717
2021-08-26,192.0,193.0,192.0,193.0,193.0,44093
2021-08-27,192.0,192.9499969482422,192.0,193.0,193.0,7409
2021-08-31,194.0,195.0,193.0,195.0,195.0,38573
2021-09-01,196.0,199.0,196.0,196.5,196.5,30274
2021-09-02,198.0,198.9199981689453,195.0,198.0,198.0,202359
2021-09-03,198.0,199.0,197.0,198.5,198.5,102083
2021-09-06,195.0,198.0,195.0,195.5,195.5,85682
2021-09-07,194.0,196.10000610351562,194.0,195.0,195.0,28452
2021-09-08,195.10000610351562,200.0,193.0,194.5,194.5,83201
2021-09-09,197.89999389648438,197.89999389648438,195.8000030517578,195.5,195.5,6339
2021-09-10,197.0,199.0,194.0,196.5,196.5,142800
2021-09-13,198.0,198.9969940185547,198.0,198.9969940185547,198.9969940185547,56086
2021-09-14,198.0,198.0,198.0,197.0,197.0,116100
2021-09-15,1.9600000381469727,1.975000023841858,1.940000057220459,1.975000023841858,1.975000023841858,3260
2021-09-16,1.9889500141143799,1.9889500141143799,1.9455000162124634,1.975000023841858,1.975000023841858,18026
2021-09-17,1.9500000476837158,1.9500000476837158,1.9199999570846558,1.9299999475479126,1.9299999475479126,2255135
2021-09-20,1.9500000476837158,1.9800000190734863,1.9500000476837158,1.9600000381469727,1.9600000381469727,38876
2021-09-21,1.9500000476837158,1.9500000476837158,1.9299999475479126,1.965000033378601,1.965000033378601,51558
2021-09-22,1.9700000286102295,1.9800000190734863,1.940999984741211,1.965000033378601,1.965000033378601,28441
2021-09-23,1.940000057220459,1.9566400051116943,1.9303300380706787,1.934999942779541,1.934999942779541,33705
2021-09-24,1.909999966621399,1.9700000286102295,1.8713300228118896,1.899999976158142,1.899999976158142,102252
2021-09-27,1.9199999570846558,1.940000057220459,1.8899999856948853,1.8949999809265137,1.8949999809265137,12525
2021-09-28,1.899999976158142,1.9384299516677856,1.8799999952316284,1.8849999904632568,1.8849999904632568,8749
2021-09-29,1.899999976158142,1.9091600179672241,1.8993699550628662,1.8849999904632568,1.8849999904632568,13451
2021-09-30,1.8700000047683716,1.940000057220459,1.8700000047683716,1.9249999523162842,1.9249999523162842,33275
2021-10-01,1.9450000524520874,1.9500000476837158,1.9359999895095825,1.9299999475479126,1.9299999475479126,23846
2021-10-04,1.9455000162124634,1.9455000162124634,1.9199999570846558,1.934999942779541,1.934999942779541,38352
2021-10-05,1.9299999475479126,1.9539999961853027,1.920799970626831,1.940000057220459,1.940000057220459,2197
2021-10-06,1.9500000476837158,1.9600000381469727,1.9210000038146973,1.934999942779541,1.934999942779541,35409
2021-10-07,1.9299999475479126,1.9592000246047974,1.9199999570846558,1.9249999523162842,1.9249999523162842,42403
2021-10-08,1.9299999475479126,1.9299999475479126,1.9199999570846558,1.9299999475479126,1.9299999475479126,31600
2021-10-11,1.9299999475479126,1.9299999475479126,1.8899999856948853,1.9049999713897705,1.9049999713897705,88818
2021-10-12,1.909369945526123,1.909369945526123,1.8799999952316284,1.8849999904632568,1.8849999904632568,25061
2021-10-13,1.899999976158142,1.9199999570846558,1.8899999856948853,1.8899999856948853,1.8899999856948853,13453
2021-10-14,1.899999976158142,1.899999976158142,1.8980000019073486,1.8949999809265137,1.8949999809265137,4327
2021-10-15,1.8700000047683716,1.9299999475479126,1.8700000047683716,1.8949999809265137,1.8949999809265137,62305
2021-10-18,1.9199999570846558,1.9199999570846558,1.9110000133514404,1.9049999713897705,1.9049999713897705,18273
2021-10-19,1.8899999856948853,1.9040000438690186,1.8700000047683716,1.8799999952316284,1.8799999952316284,86812
2021-10-20,1.8600000143051147,1.8899999856948853,1.8600000143051147,1.8700000047683716,1.8700000047683716,68132
2021-10-21,1.8799999952316284,1.899999976158142,1.8650000095367432,1.8700000047683716,1.8700000047683716,23251
2021-10-22,1.8799999952316284,1.8799999952316284,1.8650000095367432,1.875,1.875,2606
2021-10-25,1.8700000047683716,1.8993699550628662,1.8700000047683716,1.8650000095367432,1.8650000095367432,55766
2021-10-26,1.8700000047683716,1.8700000047683716,1.8600000143051147,1.8600000143051147,1.8600000143051147,68382
2021-10-27,1.8700000047683716,1.8700000047683716,1.850000023841858,1.8600000143051147,1.8600000143051147,8643
2021-10-28,1.850000023841858,1.8700000047683716,1.850000023841858,1.8600000143051147,1.8600000143051147,128762
2021-10-29,1.850000023841858,1.9299999475479126,1.840000033378601,1.899999976158142,1.899999976158142,143908
2021-11-01,1.899999976158142,1.899999976158142,1.840000033378601,1.8799999952316284,1.8799999952316284,509308
