Date,Open,High,Low,Close,Adj Close,Volume
2021-06-21,262.0,262.0,255.77999877929688,260.5,250.9080810546875,506174
2021-06-22,258.0,261.2900085449219,256.0,261.0,251.38966369628906,811107
2021-06-23,261.5,264.0,256.5,260.5,250.9080810546875,349146
2021-06-24,261.0,263.2300109863281,256.5,257.5,248.01853942871094,180045
2021-06-25,257.0,260.0,255.0,258.5,248.98171997070312,124427
2021-06-28,258.0,261.0,257.5,259.5,249.9449005126953,54048
2021-06-29,260.5,261.0,258.5,258.5,248.98171997070312,85844
2021-06-30,257.0,260.0,255.0,255.0,245.610595703125,189700
2021-07-01,265.0,265.0,254.5,256.0,246.5737762451172,304895
2021-07-02,265.0,265.0,253.5,255.5,246.09219360351562,321134
2021-07-05,257.5,264.0,253.0,254.5,245.12901306152344,525266
2021-07-06,253.0,256.0,253.0,256.0,246.5737762451172,178718
2021-07-07,256.0,261.5,254.88600158691406,257.5,248.01853942871094,423989
2021-07-08,256.5,257.5,255.5,255.5,246.09219360351562,70649
2021-07-09,255.5,258.0,254.2790069580078,258.0,248.50013732910156,72082
2021-07-12,259.0,264.5,258.0,258.0,248.50013732910156,173278
2021-07-13,260.0,261.5,254.0,258.0,248.50013732910156,106405
2021-07-14,260.0,260.0,255.8300018310547,258.5,248.98171997070312,154890
2021-07-15,263.0,266.510009765625,255.16900634765625,261.5,251.8712615966797,101288
2021-07-16,266.5,267.0,259.8380126953125,264.0,254.27920532226562,91715
2021-07-19,266.5,268.5,255.5,258.0,248.50013732910156,159080
2021-07-20,259.0,264.0,252.5,252.5,243.20265197753906,173389
2021-07-21,252.0,257.5,252.0,254.5,245.12901306152344,685586
2021-07-22,257.5,264.5,254.0,264.5,254.76080322265625,147737
2021-07-23,262.5,272.0,259.0,270.0,260.0582580566406,186844
2021-07-26,267.5,276.0,260.5,265.0,255.2423858642578,81169
2021-07-27,260.0,264.0,254.0,254.0,244.6474151611328,334362
2021-07-28,250.0,253.5,226.0,232.0,223.45748901367188,7011871
2021-07-29,232.5,236.5,229.0,230.0,221.5311279296875,1118167
2021-07-30,229.0,232.5,226.5,232.5,223.93907165527344,357872
2021-08-02,232.5,236.0,226.5,226.5,218.16000366210938,188965
2021-08-03,226.5,231.25,225.0,229.0,220.5679473876953,261611
2021-08-04,229.0,233.5,226.0,227.0,218.6416015625,299621
2021-08-05,226.5,230.0,226.13999938964844,228.5,220.08636474609375,219228
2021-08-06,228.0,230.9499969482422,226.0,226.0,217.6784210205078,177292
2021-08-09,228.0,229.5,224.0,224.5,216.233642578125,1200813
2021-08-10,226.0,229.0,225.3699951171875,227.0,218.6416015625,2629826
2021-08-11,226.0,230.0,225.0,227.5,219.12318420410156,1110835
2021-08-12,230.0,232.0,227.4600067138672,229.0,220.5679473876953,1112448
2021-08-13,227.5,231.5,225.5,225.5,217.19680786132812,108424
2021-08-16,226.0,229.5,223.5,225.0,216.71522521972656,145715
2021-08-17,225.0,228.0,223.0,227.5,219.12318420410156,270637
2021-08-18,226.0,230.0,226.0,227.0,218.6416015625,307367
2021-08-19,223.5,225.0,220.0,220.0,215.41043090820312,411923
2021-08-20,223.0,224.5,220.5,221.5,216.87913513183594,109741
2021-08-23,221.5,221.5,216.82000732421875,217.0,212.47300720214844,305202
2021-08-24,220.0,220.0,216.44500732421875,218.0,213.4521484375,82469
2021-08-25,218.0,218.0,213.3300018310547,215.0,210.51473999023438,328835
2021-08-26,215.0,215.0,212.5,214.0,209.5355987548828,1478906
2021-08-27,214.5,215.5,212.5,214.0,209.5355987548828,440898
2021-08-31,215.0,221.0,212.39999389648438,221.0,216.3895721435547,879973
2021-09-01,224.5,225.0,220.0,221.0,216.3895721435547,229492
2021-09-02,222.0,226.68600463867188,221.0,222.5,217.8582763671875,1032927
2021-09-03,225.0,229.0,219.5,225.5,220.79568481445312,179938
2021-09-06,226.0,230.0,222.0,224.0,219.3269805908203,162066
2021-09-07,223.5,223.5,218.5,219.0,214.43128967285156,97732
2021-09-08,217.5,219.8249969482422,214.0,214.0,209.5355987548828,208286
2021-09-09,215.0,217.5,211.0,216.5,211.9834442138672,233239
2021-09-10,214.5,223.16900634765625,213.0,221.0,216.3895721435547,253280
2021-09-13,223.0,224.0,220.5,224.0,219.3269805908203,23877
2021-09-14,225.0,225.0,220.5,222.5,217.8582763671875,216169
2021-09-15,219.5,226.4810028076172,216.0,216.0,211.49388122558594,158281
2021-09-16,215.0,224.5,215.0,219.0,214.43128967285156,199053
2021-09-17,218.5,227.5,217.0,227.5,222.75396728515625,232594
2021-09-20,230.0,230.0,217.0,218.0,213.4521484375,208444
2021-09-21,219.0,224.5,217.5800018310547,218.0,213.4521484375,242938
2021-09-22,216.0,224.5,216.0,221.0,216.3895721435547,156999
2021-09-23,221.0,226.0,218.0,220.5,215.89999389648438,212165
2021-09-24,220.0,220.0,217.0,218.5,213.9417266845703,459419
2021-09-27,219.5,224.5,217.3939971923828,220.0,215.41043090820312,76956
2021-09-28,220.0,222.5,217.5,220.0,215.41043090820312,151517
2021-09-29,221.0,221.5,219.5,221.0,216.3895721435547,443176
2021-09-30,215.0,222.5,215.0,219.0,214.43128967285156,294545
2021-10-01,221.5,222.0,215.5,218.0,213.4521484375,156176
2021-10-04,217.0,218.5,209.5,212.0,207.5773162841797,241871
2021-10-05,209.5,211.18699645996094,202.0,202.0,197.7859344482422,259754
2021-10-06,202.5,205.0,198.0,200.5,196.31723022460938,616955
2021-10-07,202.0,204.0,197.0,201.5,197.29637145996094,432614
2021-10-08,208.0,208.5,198.39999389648438,200.0,195.82766723632812,577549
2021-10-11,198.1999969482422,210.5,197.0,198.8000030517578,194.65269470214844,293281
2021-10-12,197.1999969482422,205.0,196.8000030517578,196.8000030517578,192.69442749023438,468621
2021-10-13,196.1999969482422,198.39999389648438,193.39999389648438,195.0,190.93197631835938,270945
2021-10-14,190.39999389648438,197.39999389648438,187.0,196.0,191.91110229492188,1318120
2021-10-15,193.0,199.4949951171875,193.0,198.0,193.869384765625,1590200
2021-10-18,197.0,207.0,196.8000030517578,206.5,202.1920623779297,653109
2021-10-19,206.5,210.0,200.0,201.0,196.8068084716797,159318
2021-10-20,201.0,203.0,195.0,196.1999969482422,192.10693359375,378925
2021-10-21,202.5,203.0,193.39999389648438,203.0,198.76507568359375,302293
2021-10-22,202.5,204.5,194.8000030517578,195.8000030517578,191.7152862548828,123123
2021-10-25,195.0,201.98899841308594,195.0,195.60000610351562,191.5194549560547,480752
2021-10-26,197.0,204.5,195.60000610351562,197.8000030517578,193.67356872558594,201948
2021-10-27,195.60000610351562,198.8000030517578,195.39999389648438,198.0,193.869384765625,164471
2021-10-28,195.0,197.60000610351562,190.1999969482422,195.1999969482422,191.12779235839844,186036
2021-10-29,195.1999969482422,198.0,193.60000610351562,196.8000030517578,192.69442749023438,96104
2021-11-01,195.0,199.1999969482422,193.94000244140625,195.0,190.93197631835938,81771
2021-11-02,195.0,195.0,187.1999969482422,187.1999969482422,183.29469299316406,191147
2021-11-03,188.0,189.39999389648438,184.1999969482422,185.0,181.14059448242188,710502
2021-11-04,184.1999969482422,191.39999389648438,184.1999969482422,186.0,182.11972045898438,1029492
2021-11-05,188.8000030517578,196.60000610351562,188.60000610351562,195.8000030517578,191.7152862548828,290261
2021-11-08,194.8000030517578,196.0,192.1999969482422,192.8000030517578,188.77786254882812,238310
2021-11-09,191.0,195.0,188.8520050048828,191.39999389648438,187.40707397460938,437847
2021-11-10,195.8000030517578,202.5,194.07200622558594,198.0,193.869384765625,584447
2021-11-11,197.8000030517578,199.8000030517578,191.49899291992188,197.0,192.89024353027344,206808
2021-11-12,198.1999969482422,200.0,196.1439971923828,198.8000030517578,194.65269470214844,302543
2021-11-15,199.0,204.5,195.39999389648438,196.8000030517578,192.69442749023438,163162
2021-11-16,193.8000030517578,198.39999389648438,193.44000244140625,195.0,190.93197631835938,141029
2021-11-17,194.8000030517578,195.8000030517578,190.8560028076172,191.39999389648438,187.40707397460938,128639
2021-11-18,191.0,193.0,190.1999969482422,190.1999969482422,186.2321014404297,89865
2021-11-19,190.0,192.60000610351562,189.05799865722656,192.60000610351562,188.58204650878906,95789
2021-11-22,192.0,192.0,187.39999389648438,189.60000610351562,185.64463806152344,234545
2021-11-23,186.0,192.39999389648438,186.0,190.0,186.03628540039062,2254688
2021-11-24,191.0,192.0,188.39999389648438,191.0,187.01541137695312,132605
2021-11-25,189.1999969482422,191.8000030517578,183.39999389648438,184.0,180.1614532470703,188249
2021-11-26,182.8000030517578,183.1999969482422,176.5,180.60000610351562,176.83238220214844,968975
2021-11-29,181.0,191.1999969482422,179.0,189.39999389648438,185.44879150390625,1299717
2021-11-30,194.0,194.0,186.60000610351562,188.60000610351562,184.66549682617188,723866
2021-12-01,182.0,189.60000610351562,182.0,184.8000030517578,180.94476318359375,274298
2021-12-02,194.0,194.0,184.1999969482422,187.0,183.09886169433594,142395
2021-12-03,194.0,194.0,183.0,183.0,179.18231201171875,84742
2021-12-06,191.0,191.0,183.1999969482422,188.0,184.0780029296875,226430
2021-12-07,194.0,194.0,188.1999969482422,190.1999969482422,186.2321014404297,111786
2021-12-08,190.60000610351562,193.1999969482422,189.8000030517578,191.8000030517578,187.79873657226562,241205
2021-12-09,194.0,194.0,189.8000030517578,190.8000030517578,186.81959533691406,99060
2021-12-10,190.0,191.60000610351562,186.0,186.0,182.11972045898438,187648
2021-12-13,185.8000030517578,188.39999389648438,180.0,180.0,176.24490356445312,165789
2021-12-14,181.0,181.60000610351562,176.94200134277344,179.60000610351562,175.85324096679688,203099
2021-12-15,178.60000610351562,179.60000610351562,175.0,175.60000610351562,171.9366912841797,151045
2021-12-16,177.8000030517578,180.39999389648438,175.0,176.60000610351562,172.91583251953125,93536
2021-12-17,174.0,178.60000610351562,174.0,178.39999389648438,174.6782684326172,217997
2021-12-20,174.1999969482422,176.1999969482422,173.1999969482422,175.0,171.34921264648438,211887
2021-12-21,175.0,177.1999969482422,174.1999969482422,177.0,173.30747985839844,225025
2021-12-22,179.0,183.8000030517578,176.6999969482422,177.39999389648438,173.69912719726562,155310
2021-12-23,178.0,180.1999969482422,177.8000030517578,179.0,175.26576232910156,129353
2021-12-24,180.0,181.0,178.7480010986328,179.0,175.26576232910156,86291
2021-12-29,178.0,184.0,178.0,184.0,180.1614532470703,315223
2021-12-30,183.0,183.8000030517578,181.0,181.0,177.22402954101562,98637
2021-12-31,181.8000030517578,184.0,180.0,183.8000030517578,179.9656219482422,131212
2022-01-04,185.1999969482422,187.8000030517578,183.8000030517578,186.0,182.11972045898438,660047
2022-01-05,188.0,190.8000030517578,187.1999969482422,190.39999389648438,186.4279327392578,317702
2022-01-06,189.1999969482422,189.86199951171875,187.39999389648438,187.60000610351562,183.6863555908203,367519
2022-01-07,186.60000610351562,190.60000610351562,183.8000030517578,188.60000610351562,184.66549682617188,904123
2022-01-10,192.0,192.8000030517578,189.68800354003906,192.60000610351562,188.58204650878906,645597
2022-01-11,192.39999389648438,200.0,192.0,198.1999969482422,194.06521606445312,336030
2022-01-12,199.0,205.0,198.0,201.0,196.8068084716797,293047
2022-01-13,203.0,207.1699981689453,202.5,205.0,200.72335815429688,177689
2022-01-14,207.0,209.0,203.0,206.0,201.70249938964844,152495
2022-01-17,206.5,209.5,205.0,207.0,202.68162536621094,111021
2022-01-18,210.0,210.5,206.0,206.0,201.70249938964844,198674
2022-01-19,215.0,215.0,202.0,203.0,198.76507568359375,300944
2022-01-20,204.0,206.5,202.0,206.5,202.1920623779297,112638
2022-01-21,205.0,207.5,201.0,201.0,196.8068084716797,618120
2022-01-24,202.0,203.5,198.60000610351562,200.0,195.82766723632812,378060
2022-01-25,200.5,204.0,200.0,202.5,198.2755126953125,263143
2022-01-26,200.0,207.5,200.0,203.0,198.76507568359375,115214
2022-01-27,204.5,204.5,200.0,201.5,197.29637145996094,372756
2022-01-28,202.5,227.0,202.5,225.0,220.30612182617188,759990
2022-01-31,230.0,230.0,222.49099731445312,227.0,222.264404296875,376199
2022-02-01,229.5,232.5,226.0,228.5,223.7331085205078,317293
2022-02-02,231.5,234.0,226.5,230.0,225.20181274414062,232808
2022-02-03,230.5,232.0,227.0,228.0,223.2435302734375,225319
2022-02-04,230.5,230.5,224.0,224.5,219.81655883789062,299056
2022-02-07,227.0,230.60000610351562,225.0,228.0,223.2435302734375,118468
2022-02-08,228.5,230.25,222.5,222.5,217.8582763671875,113334
2022-02-09,226.5,231.5,224.0,230.0,225.20181274414062,321016
2022-02-10,228.5,232.0,222.0,222.0,217.36871337890625,308568
2022-02-11,220.0,224.1580047607422,220.0,223.0,218.34783935546875,285150
2022-02-14,220.0,224.5,218.0,220.0,215.41043090820312,161120
2022-02-15,218.0,221.0,216.5,220.0,215.41043090820312,236374
2022-02-16,222.5,222.5,213.5,215.0,210.51473999023438,179142
2022-02-17,216.0,216.0,211.23800659179688,212.0,207.5773162841797,100569
2022-02-18,213.0,217.8800048828125,208.5,211.5,207.08775329589844,115365
2022-02-21,210.0,212.5,207.5,211.0,206.5981903076172,195643
2022-02-22,208.0,213.0,202.0,212.0,207.5773162841797,156356
2022-02-23,213.0,215.5,211.5,214.5,210.02516174316406,76457
2022-02-24,214.5,214.5,205.0,205.5,201.21292114257812,198760
2022-02-25,204.5,212.5,204.5,212.5,208.06689453125,353433
2022-02-28,212.5,213.0,208.0,208.0,203.6607666015625,646045
2022-03-01,209.5,211.5,205.0,205.0,200.72335815429688,239178
2022-03-02,209.0,210.5,204.5,206.5,202.1920623779297,175469
2022-03-03,208.0,208.0,197.1840057373047,198.0,193.869384765625,589301
2022-03-04,197.0,200.0,192.8000030517578,194.1999969482422,190.14865112304688,182815
2022-03-07,194.8000030517578,194.8000030517578,186.1999969482422,192.0,187.9945526123047,246417
2022-03-08,191.60000610351562,197.60000610351562,191.39999389648438,197.1999969482422,193.08607482910156,165561
2022-03-09,199.0,201.0,196.8000030517578,198.1999969482422,194.06521606445312,108643
2022-03-10,207.0,207.0,198.0,200.0,195.82766723632812,106878
2022-03-11,199.60000610351562,201.5,197.0,197.39999389648438,193.28189086914062,262908
2022-03-14,205.0,206.0,195.60000610351562,205.0,200.72335815429688,904449
2022-03-15,207.0,207.0,201.5,203.0,198.76507568359375,304984
2022-03-16,205.0,207.0,202.5,204.0,199.7442169189453,300563
2022-03-17,204.0,204.5,202.0,202.0,197.7859344482422,375945
2022-03-18,202.0,206.5,201.5,204.0,199.7442169189453,489984
2022-03-21,210.0,216.0,205.0,216.0,211.49388122558594,311553
2022-03-22,217.0,224.66700744628906,214.0,224.0,219.3269805908203,506266
2022-03-23,221.5,227.5,220.5,225.0,220.30612182617188,193332
2022-03-24,221.0,225.03500366210938,220.5,223.0,218.34783935546875,92539
2022-03-25,220.0,226.5,219.5,226.5,221.7748260498047,235238
2022-03-28,224.0,229.5,223.0,225.0,220.30612182617188,308479
2022-03-29,225.0,229.0,223.5,227.5,222.75396728515625,249064
2022-03-30,232.5,232.5,224.5,227.5,222.75396728515625,279781
2022-03-31,228.5,232.0,228.0,232.0,227.16009521484375,145451
2022-04-01,234.0,238.5,234.0,238.5,233.5244903564453,299522
2022-04-04,239.0,242.5,233.0,235.0,230.09750366210938,217051
2022-04-05,234.5,238.0,233.0,237.0,232.0557861328125,699149
2022-04-06,237.0,239.5,235.0,237.0,232.0557861328125,945484
2022-04-07,242.0,242.0,226.5,229.0,224.22267150878906,656570
2022-04-08,234.5,234.5,227.5,230.0,225.20181274414062,249869
2022-04-11,230.0,231.60400390625,227.0,227.5,222.75396728515625,191885
2022-04-12,227.5,229.0,222.0,229.0,224.22267150878906,1406316
2022-04-13,229.0,231.0,223.75,225.0,220.30612182617188,178291
2022-04-14,226.5,226.5,212.33700561523438,222.0,217.36871337890625,169379
2022-04-19,222.5,224.0,210.3489990234375,217.5,212.96258544921875,173708
2022-04-20,214.5,216.5,213.5,215.0,210.51473999023438,254270
2022-04-21,216.0,220.19000244140625,214.5,215.0,210.51473999023438,421020
2022-04-22,214.5,222.5,214.0,217.5,212.96258544921875,298029
2022-04-25,214.0,219.5,213.35000610351562,215.5,211.00430297851562,107434
2022-04-26,217.5,217.5,213.0,216.0,211.49388122558594,207945
2022-04-27,216.5,220.5,211.8000030517578,220.5,215.89999389648438,130938
2022-04-28,211.5,215.5,209.0,212.0,212.0,179252
2022-04-29,214.0,214.0,209.8300018310547,210.0,210.0,99438
2022-05-03,210.0,215.0,210.0,215.0,215.0,178096
2022-05-04,213.0,213.0,208.5,210.0,210.0,132857
