Date,Open,High,Low,Close,Adj Close,Volume
2021-05-10,649.0,655.0,643.0,647.0,647.0,76628
2021-05-11,640.0,647.0,633.0,633.0,633.0,131320
2021-05-12,633.0,637.5859985351562,630.0,630.0,630.0,108555
2021-05-13,630.0,635.06298828125,630.0,635.0,635.0,244446
2021-05-14,641.0,641.8880004882812,635.0,639.0,639.0,108754
2021-05-17,645.0,645.0,638.0,639.0,639.0,50173
2021-05-18,644.0,644.0,633.0,636.0,636.0,49890
2021-05-19,633.0,644.0,633.0,641.0,641.0,116298
2021-05-20,640.0,654.0,640.0,653.0,653.0,92367
2021-05-21,650.0,658.9400024414062,650.0,653.0,653.0,228138
2021-05-24,653.0,658.0,653.0,655.0,655.0,50695
2021-05-25,661.0,668.0,658.0,665.0,665.0,229483
2021-05-26,665.0,669.0,663.0,665.0,665.0,129160
2021-05-27,669.0,669.0,661.0,668.0,668.0,88420
2021-05-28,669.0,671.0,663.0,669.0,669.0,271381
2021-06-01,669.0,694.0,668.0,694.0,694.0,269876
2021-06-02,700.0,700.0,689.0,691.0,691.0,181344
2021-06-03,694.0,699.0,693.0,697.0,697.0,1022469
2021-06-04,697.0,701.0,692.0,692.0,692.0,212310
2021-06-07,689.0,693.0,685.0,690.0,690.0,147559
2021-06-08,684.0,693.0,675.0,676.0,676.0,166861
2021-06-09,677.0,678.0,675.0,675.0,675.0,77829
2021-06-10,675.0,679.0,668.0,670.0,670.0,394134
2021-06-11,682.0,690.0,668.0,690.0,690.0,675120
2021-06-14,690.0,697.0,681.0,691.0,691.0,134344
2021-06-15,699.0,699.0,683.0,683.0,683.0,253666
2021-06-16,689.0,690.0599975585938,666.0,666.0,666.0,224678
2021-06-17,670.0,681.0,669.8280029296875,680.0,680.0,259003
2021-06-18,684.0,691.0,679.0,689.0,689.0,234317
2021-06-21,695.0,695.0,684.0,694.0,694.0,151272
2021-06-22,699.0,707.0,694.0,707.0,707.0,219292
2021-06-23,696.0,713.9550170898438,696.0,713.0,713.0,114639
2021-06-24,715.0,719.0,704.0,706.0,706.0,212481
2021-06-25,709.0,714.0,706.0,706.0,706.0,108664
2021-06-28,709.0,710.9400024414062,705.0,707.0,707.0,405844
2021-06-29,707.0,712.5859985351562,707.0,708.0,708.0,302075
2021-06-30,717.0,717.0,700.0,700.0,700.0,352289
2021-07-01,703.0,709.75,698.1229858398438,700.0,700.0,475068
2021-07-02,703.0,715.0,702.0,715.0,715.0,809074
2021-07-05,720.0,724.0,707.0,722.0,722.0,166926
2021-07-06,726.0,726.0,712.0,717.0,717.0,314790
2021-07-07,726.0,726.0,711.6699829101562,712.0,712.0,168667
2021-07-08,710.0,714.0,690.0,705.0,705.0,634196
2021-07-09,708.0,708.6840209960938,700.0,708.0,708.0,261763
2021-07-12,699.0,699.0,686.0,690.0,690.0,257130
2021-07-13,692.0,692.0,684.0,689.0,689.0,125002
2021-07-14,693.0,693.0,678.02001953125,685.0,685.0,219007
2021-07-15,680.0,693.0,680.0,682.0,682.0,66755
2021-07-16,690.0,691.0,675.0,675.0,675.0,101845
2021-07-19,666.0,669.0,650.0,652.0,652.0,237035
2021-07-20,654.0,668.0,654.0,663.0,663.0,303815
2021-07-21,660.0,670.5,660.0,665.0,665.0,93227
2021-07-22,665.0,684.0,665.0,680.0,680.0,164027
2021-07-23,678.0,679.0,658.0,665.0,665.0,133915
2021-07-26,660.0,666.0,653.0,660.0,660.0,179739
2021-07-27,661.0,661.0830078125,652.0,654.0,654.0,87165
2021-07-28,656.0,661.8200073242188,643.0,653.0,653.0,191143
2021-07-29,650.0,663.0,649.0,658.0,658.0,103442
2021-07-30,661.0,671.0,653.0,654.0,654.0,182478
2021-08-02,653.0,677.0,653.0,677.0,677.0,95370
2021-08-03,670.0,690.0,670.0,688.0,688.0,181926
2021-08-04,680.0,695.0,680.0,695.0,695.0,91207
2021-08-05,695.0,695.0,684.0,690.0,690.0,266424
2021-08-06,695.0,698.0,681.0,698.0,698.0,107355
2021-08-09,690.0,700.0,686.0,692.0,692.0,151414
2021-08-10,700.0,700.0,691.0,693.0,693.0,128556
2021-08-11,695.0,703.0,691.0,703.0,703.0,170860
2021-08-12,701.0,702.0,688.0,697.0,697.0,46157
2021-08-13,702.0,704.0,688.9500122070312,700.0,700.0,102271
2021-08-16,696.0,712.0,696.0,707.0,707.0,158271
2021-08-17,708.0,713.0,693.0,700.0,700.0,204796
2021-08-18,698.0,703.1209716796875,693.0,702.0,702.0,79964
2021-08-19,693.0,702.0,682.5460205078125,686.0,686.0,1028166
2021-08-20,680.0,693.0,673.0,675.0,675.0,197959
2021-08-23,682.0,683.0,657.0,658.0,658.0,178309
2021-08-24,659.0,667.0,653.0,658.0,658.0,218869
2021-08-25,662.0,666.8499755859375,653.0,658.0,658.0,120933
2021-08-26,658.0,664.0,654.0,660.0,660.0,101829
2021-08-27,661.0,676.0,656.0999755859375,676.0,676.0,444571
2021-08-31,676.0,694.0,668.0,693.0,693.0,627906
2021-09-01,693.0,706.0,682.0,706.0,706.0,227471
2021-09-02,687.0,706.0,687.0,701.0,701.0,654436
2021-09-03,686.0,704.3289794921875,686.0,702.0,702.0,164553
2021-09-06,704.0,706.0,693.0,703.0,703.0,88563
2021-09-07,703.0,710.0,701.0,707.0,707.0,108062
2021-09-08,695.0,708.0,693.0,701.0,701.0,73263
2021-09-09,695.0,706.0,695.0,706.0,706.0,129881
2021-09-10,704.0,709.0,701.0,703.0,703.0,69428
2021-09-13,701.0,712.0,701.0,712.0,712.0,3306
2021-09-14,709.0,711.5999755859375,702.2730102539062,710.0,710.0,92075
2021-09-15,706.0,709.0,704.0,705.0,705.0,84268
2021-09-16,707.0,713.0,702.5,712.0,712.0,78974
2021-09-17,714.0,719.0,707.0,719.0,719.0,249462
2021-09-20,711.0,718.0,702.0,705.0,705.0,298775
2021-09-21,704.0,709.0,700.0,706.0,706.0,124726
2021-09-22,708.0,719.0,707.0,709.0,709.0,114543
2021-09-23,717.0,717.0,705.0,709.0,709.0,100532
2021-09-24,709.0,714.0,701.0,710.0,710.0,77602
2021-09-27,715.0,715.0,701.406005859375,710.0,710.0,98201
2021-09-28,708.0,715.0,700.0,703.0,703.0,143625
2021-09-29,705.0,709.0,701.0,708.0,708.0,102736
