Date,Open,High,Low,Close,Adj Close,Volume
2017-06-26,484.3999938964844,492.75,486.3999938964844,489.3970031738281,447.040771484375,151622
2017-06-27,487.5,487.5,479.0,483.2300109863281,441.4075927734375,25367
2017-06-28,476.3999938964844,485.29998779296875,475.0,483.70001220703125,441.8368835449219,410895
2017-06-29,487.79998779296875,487.20001220703125,481.0,485.0,443.02435302734375,119728
2017-06-30,484.8999938964844,490.0,483.5799865722656,488.1000061035156,445.8560485839844,146514
2017-07-03,486.5,489.8999938964844,482.6000061035156,488.1000061035156,445.8560485839844,983778
2017-07-04,487.29998779296875,492.79998779296875,476.6000061035156,491.20001220703125,448.6877746582031,855958
2017-07-05,492.6000061035156,505.0,490.0,505.0,461.29339599609375,1414548
2017-07-06,505.0,515.5,502.5,506.5,462.66363525390625,2309365
2017-07-07,507.0,509.5,502.0,509.5,465.4039306640625,802989
2017-07-10,507.0,514.5,507.0,512.5,468.1442565917969,714939
2017-07-11,512.5,512.5,512.5,512.5,468.1442565917969,0
2017-07-12,510.0,510.0,496.79998779296875,500.5,457.182861328125,1581393
2017-07-13,499.20001220703125,508.5,498.8999938964844,503.0,459.46649169921875,1432281
2017-07-14,499.29998779296875,507.0,492.29998779296875,504.0,460.37994384765625,832035
2017-07-17,505.0,510.0,504.5,506.5,462.66363525390625,1082839
2017-07-18,516.0,516.0,505.5,508.5,464.4905090332031,852557
2017-07-19,509.0,509.5,504.5,509.5,465.4039306640625,1088665
2017-07-20,510.5,514.5,507.8500061035156,514.0,469.51446533203125,737702
2017-07-21,513.5,516.5,508.5,511.0,466.7740783691406,1059482
2017-07-24,511.5,511.6000061035156,496.0,503.0,459.46649169921875,1378124
2017-07-25,505.0,506.8500061035156,501.5,506.0,462.20684814453125,1142850
2017-07-26,507.5,511.5,502.0,508.0,464.03375244140625,1270273
2017-07-27,506.5,513.0,483.70001220703125,512.0,467.6875305175781,1084640
2017-07-28,509.5,514.0,506.0,510.0,465.86065673828125,1227701
2017-07-31,511.0,513.0,507.239990234375,512.5,468.1442565917969,745703
2017-08-01,513.5,521.0,512.5,516.5,471.798095703125,933348
2017-08-02,517.0,525.0,515.0,522.5,477.27880859375,868250
2017-08-03,519.0,527.5,517.0,522.0,480.2226867675781,734581
2017-08-04,520.0,526.5,518.5,524.5,482.5226135253906,647757
2017-08-07,525.0,527.5,522.25,525.0,482.98260498046875,434045
2017-08-08,517.5,526.0,515.5,523.0,481.1426696777344,985317
2017-08-09,522.5,524.0,518.0,523.0,481.1426696777344,901495
2017-08-10,525.0,526.5,518.0,520.5,478.8427429199219,726516
2017-08-11,518.5,519.5,513.0,515.0,473.782958984375,739756
2017-08-14,514.5,524.6500244140625,514.5,522.5,480.68267822265625,524330
2017-08-15,524.0,524.5,518.5,520.0,478.3827819824219,776147
2017-08-16,521.5,523.5,520.0,521.5,479.76275634765625,603075
2017-08-17,521.0,525.5,519.5,520.5,478.8427429199219,664692
2017-08-18,518.0,520.0,515.0,519.0,477.46282958984375,609471
