Date,Open,High,Low,Close,Adj Close,Volume
2017-06-26,101.25,100.5,99.0,100.5,65.4069595336914,388036
2017-06-27,99.0,103.0,99.07499694824219,103.0,67.03400421142578,603553
2017-06-28,100.0,102.44999694824219,100.62999725341797,101.125,65.813720703125,75861
2017-06-29,101.75,102.0,100.94499969482422,101.75,66.22047424316406,106528
2017-06-30,100.5,101.0,96.81500244140625,97.0,63.12910842895508,416785
2017-07-03,97.0,100.25,97.0,100.0,65.08155822753906,169765
2017-07-04,99.5,100.0,98.25,99.375,64.67478942871094,396674
2017-07-05,100.5,101.64199829101562,98.5,99.0,64.43074035644531,435340
2017-07-06,98.25,98.50299835205078,97.125,98.25,63.942623138427734,350156
2017-07-07,98.0,98.25,94.0,95.0,61.82747268676758,392918
2017-07-10,94.5,96.4800033569336,94.5,95.125,61.90883255004883,64850
2017-07-11,95.125,95.125,95.125,95.125,61.90883255004883,0
2017-07-12,94.5,95.25,93.5,93.5,60.85124588012695,366738
2017-07-13,94.5,94.5,92.5,92.5,60.200435638427734,126710
2017-07-14,92.5,93.0,92.25,92.25,60.03773880004883,368730
2017-07-17,92.5,93.25,91.75,91.875,59.79367446899414,79612
2017-07-18,91.5,93.5,91.375,91.875,59.79367446899414,167946
2017-07-19,91.75,92.5,91.43800354003906,92.5,60.200435638427734,199975
2017-07-20,93.5,93.5,91.07499694824219,92.0,59.87503433227539,126966
2017-07-21,92.0,93.5,91.5,92.25,60.03773880004883,66305
2017-07-24,91.0,91.55000305175781,90.5,91.25,59.38691711425781,73531
2017-07-25,90.5,90.80000305175781,90.0,90.5,58.8988037109375,68744
2017-07-26,90.5,91.75,90.0,91.0,59.224212646484375,182012
2017-07-27,90.25,91.5,90.25,91.5,59.54962158203125,192405
2017-07-28,90.0,91.125,90.0,91.5,59.54962158203125,492471
2017-07-31,91.0,94.447998046875,91.0,94.125,61.25801086425781,1008211
2017-08-01,94.25,98.75,91.4990005493164,94.5,61.5020637512207,1019849
2017-08-02,95.0,98.0,94.25,96.125,62.55965042114258,185525
2017-08-03,97.0,97.0,95.25,96.5,62.803707122802734,434847
2017-08-04,96.25,98.25,95.76799774169922,98.0,63.77991485595703,747791
2017-08-07,98.0,98.375,96.72100067138672,97.0,63.12910842895508,280770
2017-08-08,97.0,97.55500030517578,96.75,96.75,62.96641159057617,47762
2017-08-09,97.0,97.75,96.5199966430664,96.5,62.803707122802734,59874
2017-08-10,96.25,97.25,96.0,96.25,62.640995025634766,114268
2017-08-11,94.0,96.75,94.0,96.375,62.72235107421875,143125
2017-08-14,94.25,95.0999984741211,90.0,93.625,60.93260192871094,433813
2017-08-15,94.0,94.5,93.375,94.0,61.176658630371094,124253
2017-08-16,93.5,95.0,93.5,94.0,61.176658630371094,701294
2017-08-17,93.0,94.75,93.0,93.25,60.688541412353516,80424
2017-08-18,93.5,93.82499694824219,90.0,90.0,58.573402404785156,121593
2017-08-21,90.0,94.5,89.25,94.0,61.176658630371094,376645
2017-08-22,93.5,94.75,92.81300354003906,93.0,60.52584457397461,142315
2017-08-23,93.0,94.36000061035156,93.0,93.25,60.688541412353516,130624
2017-08-24,94.25,107.0,92.6500015258789,107.0,69.63726043701172,1826177
2017-08-25,107.75,126.0,106.0,115.75,75.33190155029297,2242810
2017-08-29,117.25,119.65399932861328,115.0,115.0,74.84378814697266,566246
2017-08-30,115.0,122.0,115.0,121.75,79.23678588867188,702644
2017-08-31,121.5,129.5,120.0979995727539,122.0,79.39949035644531,1819089
2017-09-01,122.0,125.48999786376953,120.75,121.5,79.07408905029297,519681
2017-09-04,122.5,129.0,120.25,128.0,83.30438232421875,887738
2017-09-05,129.5,129.5,125.5,126.5,82.32816314697266,936760
2017-09-06,127.75,128.5,125.5,126.0,82.00275421142578,314603
2017-09-07,126.0,128.5,123.88400268554688,124.0,80.70112609863281,289326
2017-09-08,124.0,126.5,124.0,124.5,81.02652740478516,154609
2017-09-11,126.0,126.5,119.0,120.0,78.09786987304688,564162
2017-09-12,119.0,124.75,119.0,123.0,80.05030059814453,503324
