Date,Open,High,Low,Close,Adj Close,Volume
2017-06-26,15.5,15.5,14.937999725341797,15.1899995803833,13.437485694885254,331823
2017-06-27,15.5,15.5,15.0,15.388999938964844,13.613525390625,551959
2017-06-28,15.5,15.25,14.5,14.5,12.827092170715332,1213338
2017-06-29,14.5,14.75,13.75,14.0,12.38477897644043,1287534
2017-06-30,13.75,14.0,13.25,13.75,12.16362190246582,2105375
2017-07-03,13.25,14.0,13.0,13.0,11.500150680541992,1641144
2017-07-04,13.25,13.5,12.75,13.0,11.500150680541992,2835725
2017-07-05,13.25,15.0,13.0,15.0,13.269405364990234,8891183
2017-07-06,14.33899974822998,14.33899974822998,14.33899974822998,14.33899974822998,12.684667587280273,1899333
2017-07-07,14.75,14.75,13.75,13.75,12.16362190246582,1543826
2017-07-10,13.75,14.25,13.75,14.0,12.38477897644043,360148
2017-07-11,14.0,14.0,14.0,14.0,12.38477897644043,0
2017-07-12,14.0,14.25,13.75,14.0,12.38477897644043,2747296
2017-07-13,14.0,14.25,13.75,14.0,12.38477897644043,1054522
2017-07-14,14.0,14.5,13.5,13.5,11.942464828491211,1793836
2017-07-17,14.0,14.75,13.75,14.0,12.38477897644043,1359321
2017-07-18,14.5,14.75100040435791,14.0,14.5,12.827092170715332,1532455
2017-07-19,14.75,14.75,14.0,14.25,12.605935096740723,1090937
2017-07-20,14.25,14.75,13.75,13.75,12.16362190246582,6387892
2017-07-21,14.0,14.5,13.75,13.75,12.16362190246582,3217254
2017-07-24,13.75,14.0,13.5,13.5,11.942464828491211,1114264
2017-07-25,13.5,13.75,13.25,13.5,11.942464828491211,2700758
2017-07-26,13.5,14.0,13.0,13.0,11.500150680541992,1018560
2017-07-27,13.25,14.0,13.25,13.75,12.16362190246582,2249860
2017-07-28,13.5,14.0,13.25,13.5,11.942464828491211,1564567
2017-07-31,13.75,13.75,13.0,13.75,12.16362190246582,2607534
2017-08-01,13.5,13.5,13.0,13.5,11.942464828491211,2941911
2017-08-02,13.25,13.50100040435791,13.25,13.5,11.942464828491211,706646
2017-08-03,13.75,13.75,13.0,13.5,11.942464828491211,2312788
2017-08-04,13.25,13.75,13.25,13.25,11.721308708190918,403551
2017-08-07,13.5,13.680000305175781,12.75,13.0,11.500150680541992,2707048
2017-08-08,13.0,13.25,12.5,12.5,11.057838439941406,1156676
2017-08-09,13.0,13.25,12.25,12.5,11.057838439941406,1698618
2017-08-10,12.75,13.5,12.75,12.75,11.2789945602417,4589919
2017-08-11,13.0,14.75,13.0,14.25,12.605935096740723,6271904
2017-08-14,14.5,15.0,14.25,14.5,12.827092170715332,6345082
2017-08-15,14.5,14.75,14.0,14.0,12.38477897644043,1550622
2017-08-16,14.5,15.0,14.25,14.25,12.605935096740723,9101037
2017-08-17,14.75,15.0,14.25,14.25,12.605935096740723,4421205
2017-08-18,14.75,15.0,13.75,14.0,12.38477897644043,8845972
2017-08-21,14.5,14.75,13.0,13.0,11.500150680541992,3424589
2017-08-22,13.75,14.0,13.25,13.5,11.942464828491211,6808982
2017-08-23,13.75,14.0,13.0,13.0,11.500150680541992,2779707
2017-08-24,13.0,13.75,13.0,13.0,11.500150680541992,6209778
2017-08-25,13.5,13.75,13.25,13.75,12.16362190246582,1633909
2017-08-29,13.5,14.5,13.5,14.5,12.827092170715332,2817577
2017-08-30,14.25,14.3149995803833,13.75,13.75,12.16362190246582,1577716
2017-08-31,14.25,14.50100040435791,13.75,14.5,12.827092170715332,1467794
2017-09-01,14.25,15.0,14.25,14.75,13.048249244689941,2039473
2017-09-04,15.0,15.5,14.75,15.25,13.490561485290527,2446320
2017-09-05,15.25,15.317000389099121,15.0,15.0,13.269405364990234,750362
2017-09-06,15.25,15.5,15.25,15.25,13.490561485290527,937635
2017-09-07,15.25,15.50100040435791,15.0,15.5,13.711718559265137,476258
2017-09-08,15.25,15.75,15.220000267028809,15.5,13.711718559265137,1033859
2017-09-11,15.25,15.5,14.5,14.75,13.048249244689941,1591448
2017-09-12,14.75,15.0,14.25,14.25,12.605935096740723,752592
2017-09-13,14.25,14.437999725341797,13.25,13.75,12.16362190246582,7419217
2017-09-14,13.5,14.0,13.5,13.5,11.942464828491211,2901283
2017-09-15,13.5,14.0,13.25,14.0,12.38477897644043,825078
2017-09-18,13.5,13.75,13.25,13.25,11.721308708190918,593960
2017-09-19,13.25,13.75,12.75,12.75,11.2789945602417,1125384
2017-09-20,12.75,13.5,12.75,13.0,11.500150680541992,2744982
2017-09-21,12.75,13.25,12.75,13.0,11.500150680541992,855103
2017-09-22,13.0,13.479999542236328,12.973999977111816,13.0,11.500150680541992,769399
2017-09-25,13.0,13.569999694824219,13.0,13.0,11.500150680541992,1316587
2017-09-26,13.0,13.75,13.0,13.75,12.16362190246582,1184856
2017-09-27,13.25,13.668000221252441,12.5,12.5,11.057838439941406,4533550
2017-09-28,12.75,13.0,12.5,13.0,11.500150680541992,2757458
2017-09-29,12.5,13.00100040435791,12.5,13.0,11.500150680541992,1882183
2017-10-02,12.75,13.225000381469727,12.5,12.75,11.2789945602417,5452275
2017-10-03,12.75,13.25,12.75,13.25,11.721308708190918,1539349
2017-10-04,13.5,13.75,13.0,13.0,11.500150680541992,2839312
2017-10-05,13.25,13.585000038146973,13.0,13.0,11.500150680541992,2665950
2017-10-06,13.25,13.4350004196167,12.75,13.0,11.500150680541992,998030
2017-10-09,13.25,13.5,12.75,12.75,11.2789945602417,1262876
2017-10-10,13.25,13.25,12.75,12.75,11.2789945602417,2303433
2017-10-11,13.0,13.0,12.5,12.75,11.2789945602417,2100741
2017-10-12,12.75,13.25,12.75,12.75,11.2789945602417,1871412
2017-10-13,13.0,13.5,12.75,13.25,11.721308708190918,1864496
2017-10-16,13.25,13.75,12.937999725341797,13.5,11.942464828491211,1858913
2017-10-17,13.0,13.75,13.0,13.5,11.942464828491211,2501857
2017-10-18,14.0,14.0,13.25,13.25,11.721308708190918,1234397
2017-10-19,13.5,13.75,13.0,13.75,12.16362190246582,5820618
2017-10-20,13.5,13.710000038146973,12.75,12.75,11.2789945602417,4229144
2017-10-23,13.25,13.5,13.0,13.0,11.500150680541992,1708473
2017-10-24,13.25,13.4350004196167,13.0,13.25,11.721308708190918,572242
2017-10-25,13.25,13.482999801635742,12.75,12.75,11.2789945602417,1453169
2017-10-26,12.75,13.25,12.5,13.0,11.500150680541992,2152582
2017-10-27,12.75,13.0,12.75,12.75,11.2789945602417,1996231
2017-10-30,13.0,13.25,12.789999961853027,13.25,11.721308708190918,1188296
2017-10-31,13.25,13.75,13.0,13.75,12.16362190246582,2398161
2017-11-01,13.75,13.944999694824219,13.5,13.75,12.16362190246582,3445942
2017-11-02,13.5,14.25,13.5,14.25,12.605935096740723,2139052
2017-11-03,14.25,14.498000144958496,13.75,13.75,12.16362190246582,1640573
2017-11-06,14.0,14.25,13.774999618530273,14.25,12.605935096740723,1112119
2017-11-07,14.25,14.25,14.0,14.25,12.605935096740723,967150
2017-11-08,14.0,14.25,14.0,14.0,12.38477897644043,862199
2017-11-09,14.0,14.25,13.74899959564209,13.75,12.16362190246582,2076475
2017-11-10,14.0,14.25,13.906999588012695,14.0,12.38477897644043,1118347
2017-11-13,13.75,14.5,13.75,14.0,12.38477897644043,1637760
2017-11-14,14.0,14.5,13.99899959564209,14.0,12.38477897644043,1199502
2017-11-15,14.25,15.0,14.0,15.0,13.269405364990234,2492093
2017-11-16,14.5,14.59000015258789,14.0,14.5,12.827092170715332,2666780
2017-11-17,14.5,14.75,14.236000061035156,14.75,13.048249244689941,1630180
2017-11-20,14.5,14.75,14.5,14.5,12.827092170715332,718419
2017-11-21,14.5,14.75,14.25,14.5,12.827092170715332,1838240
2017-11-22,14.75,15.5,14.5,15.0,13.269405364990234,2117533
2017-11-23,15.25,15.25,14.5,15.0,13.269405364990234,2737950
2017-11-24,14.75,15.25,14.75,15.0,13.269405364990234,747315
2017-11-27,14.75,15.0,14.5,14.5,12.827092170715332,4591806
2017-11-28,14.25,15.5,14.25,15.5,13.711718559265137,3579634
2017-11-29,15.0,15.5,15.0,15.25,13.490561485290527,3042436
2017-11-30,15.0,15.25,14.75,15.25,13.490561485290527,5600581
2017-12-01,15.25,15.75,14.5,15.75,13.932876586914062,2204866
2017-12-04,15.0,15.25,14.5,14.5,12.827092170715332,2993738
2017-12-05,14.5,14.75,14.25,14.25,12.605935096740723,1265239
2017-12-06,14.5,14.5,14.25,14.25,12.605935096740723,1126528
2017-12-07,14.0,14.0,12.75,12.75,11.644510269165039,2323911
2017-12-08,13.0,13.75,13.0,13.5,12.32948112487793,2653844
2017-12-11,13.75,14.25,13.75,13.75,12.557805061340332,2013721
2017-12-12,14.0,14.75,14.0,14.75,13.471098899841309,4216802
2017-12-13,14.5,14.5,14.0,14.3149995803833,13.073816299438477,2707213
2017-12-14,14.5,14.5,14.0,14.0,12.786128044128418,3640669
2017-12-15,14.0,14.75,13.75,14.0,12.786128044128418,2419405
2017-12-18,14.25,14.75,14.0,14.25,13.01445198059082,3375468
2017-12-19,14.25,14.25,13.5,14.25,13.01445198059082,1651372
2017-12-20,14.5,14.5,14.0,14.0,12.786128044128418,443225
2017-12-21,14.75,14.75,13.75,14.25,13.01445198059082,945911
2017-12-22,14.0,14.25,14.0,14.0,12.786128044128418,97065
2017-12-27,14.0,15.0,14.0,15.0,13.699422836303711,956003
2017-12-28,14.5,14.5,14.0,14.5,13.242775917053223,1045256
2017-12-29,14.5,14.5,13.25,13.25,12.101157188415527,1406879
2018-01-02,13.239999771118164,14.220000267028809,13.239999771118164,13.300000190734863,12.146821975708008,1470969
2018-01-03,13.739999771118164,13.899999618530273,13.520000457763672,13.800000190734863,12.603468894958496,2737101
2018-01-04,13.84000015258789,14.5,13.779999732971191,13.880000114440918,12.676532745361328,2767379
2018-01-05,13.979999542236328,14.220000267028809,13.899999618530273,14.0600004196167,12.840926170349121,1639842
2018-01-08,14.079999923706055,14.220000267028809,13.699999809265137,13.880000114440918,12.676532745361328,4099710
2018-01-09,13.739999771118164,14.0,13.5600004196167,13.9399995803833,12.731329917907715,545391
2018-01-10,13.520000457763672,14.0,13.520000457763672,14.0,12.786128044128418,457624
2018-01-11,13.800000190734863,14.0,13.640000343322754,14.0,12.786128044128418,1028294
2018-01-12,14.0,14.0,13.899999618530273,13.9399995803833,12.731329917907715,244224
2018-01-15,13.899999618530273,14.0,13.800000190734863,13.880000114440918,12.676532745361328,1172903
2018-01-16,13.979999542236328,14.0,13.859999656677246,13.9399995803833,12.731329917907715,400728
2018-01-17,14.0,14.0,13.739999771118164,13.760000228881836,12.566937446594238,654174
2018-01-18,13.760000228881836,14.0,13.359999656677246,13.640000343322754,12.457342147827148,1446954
2018-01-19,13.600000381469727,13.899999618530273,13.199999809265137,13.199999809265137,12.055493354797363,2609032
2018-01-22,14.0,14.0,13.260000228881836,13.319999694824219,12.165087699890137,1009486
2018-01-23,14.0,14.0,13.0,13.0,11.872833251953125,1382813
2018-01-24,12.899999618530273,13.079999923706055,12.520000457763672,12.520000457763672,11.434452056884766,1525830
2018-01-25,12.84000015258789,13.380000114440918,12.84000015258789,13.199999809265137,12.055493354797363,515212
2018-01-26,13.100000381469727,13.420000076293945,13.0,13.0600004196167,11.927631378173828,1079781
2018-01-29,13.079999923706055,13.5,12.739999771118164,13.199999809265137,12.055493354797363,2329742
2018-01-30,13.0600004196167,13.199999809265137,12.680000305175781,12.920000076293945,11.799769401550293,630314
2018-01-31,12.979999542236328,13.220000267028809,12.600000381469727,12.760000228881836,11.653642654418945,768582
2018-02-01,12.600000381469727,12.899999618530273,10.300000190734863,10.779999732971191,9.845318794250488,5839757
2018-02-02,11.140000343322754,11.140000343322754,9.800000190734863,9.859999656677246,9.005086898803711,4235957
2018-02-05,9.869999885559082,9.869999885559082,8.5600004196167,8.899999618530273,8.128324508666992,4989407
2018-02-06,9.0,9.800000190734863,8.680000305175781,9.0,8.219654083251953,7957994
2018-02-07,9.380000114440918,9.390000343322754,8.979999542236328,9.130000114440918,8.338382720947266,2550312
2018-02-08,9.479999542236328,10.399999618530273,9.210000038146973,10.020000457763672,9.151214599609375,4753163
2018-02-09,10.300000190734863,10.300000190734863,9.680000305175781,9.680000305175781,8.840694427490234,912796
2018-02-12,10.100000381469727,10.399999618530273,9.699999809265137,9.710000038146973,8.86809253692627,2642483
2018-02-13,9.819999694824219,9.989999771118164,9.510000228881836,9.649999618530273,8.813295364379883,6741237
2018-02-14,9.5,9.75,9.460000038146973,9.5600004196167,8.731099128723145,1455484
2018-02-15,9.729999542236328,9.770000457763672,9.59000015258789,9.640000343322754,8.80416202545166,2302500
2018-02-16,9.720000267028809,9.760000228881836,9.010000228881836,9.1899995803833,8.393178939819336,3322601
2018-02-19,9.079999923706055,9.300000190734863,8.59000015258789,8.59000015258789,7.845202922821045,5384031
2018-02-20,8.699999809265137,8.770000457763672,7.869999885559082,8.199999809265137,7.489018440246582,4540855
2018-02-21,8.100000381469727,8.8100004196167,8.100000381469727,8.270000457763672,7.552948474884033,1449926
2018-02-22,8.270000457763672,8.359999656677246,7.820000171661377,7.920000076293945,7.233295917510986,4169475
2018-02-23,7.75,8.430000305175781,7.75,7.909999847412109,7.2241621017456055,2546548
2018-02-26,8.0,8.100000381469727,7.619999885559082,7.739999771118164,7.068902492523193,2475990
2018-02-27,7.610000133514404,7.610000133514404,7.0,7.170000076293945,6.548324108123779,4257616
2018-02-28,7.75,7.75,6.710000038146973,7.0,6.393064022064209,8521290
2018-03-01,7.699999809265137,7.699999809265137,6.920000076293945,7.130000114440918,6.5117926597595215,1142171
2018-03-02,7.650000095367432,7.760000228881836,7.400000095367432,7.619999885559082,6.959306716918945,5986923
2018-03-05,7.840000152587891,7.840000152587891,7.329999923706055,7.489999771118164,6.840578556060791,2013263
