,Stock,Epic,Qty,Price,Target,Stop,Buy Date,Sell,Sell Date,P/L
0,XPP,XPP,4,4855.0,5200,4650,29/11/2021,5190.0,29/12/2021,1423.0
1,Hikma,HIK,2,1948.0,2100,1850,13/09/2019,1988.0,07/11/2019,80.0
2,Superdry,SDRY,10,1185.0,1250,1050,16/05/2018,1280.0,13/05/2018,950.0
3,Supergroup,SPG,30,1709.0,1800,1600,02/10/2017,1990.0,17/11/2017,8430.0
4,IG Group,IGG,10,492.0,550,450,30/03/2017,787.0,19/01/2018,2950.0
5,Emis,Emis,10,882.0,960,840,30/03/2017,945.0,18/05/2017,630.0
6,Dominos,DOM,20,328.0,360,300,09/03/2017,332.0,03/05/2017,80.0
7,Paysafe,PAYS,20,398.0,450,370,07/03/2017,595.0,01/08/2017,3940.0
8,Just Eat,JE.,20,513.0,570,500,17/01/2017,570.0,19/04/2017,1140.0
9,Restaurant,RTN,10,335.0,420,300,02/08/2016,391.0,21/10/2016,560.0
10,Easyjet,EZJ,5,1527.0,1650,1490,29/06/2015,1783.0,09/09/2015,1280.0
11,Dominos,DOM,10,764.0,820,740,29/06/2015,1054.0,03/06/2016,2900.0
12,Merlin,MERL,10,454.0,550,420,14/05/2015,,,
13,International Con Airlines,IAG,10,349.0,400,325,17/10/2014,576.0,29/04/2015,2270.0
14,Poundland,PLND,15,371.0,420,340,07/03/2014,365.0,09/04/2014,90.0
15,Hunting,HTG,10,752.0,800,737,03/02/2014,844.0,26/02/2014,920.0
16,Monitise,MONI,50,68.0,82,61,03/02/2014,56.6,11/04/2014,575.0
17,QPP,QPP,500,20.0,40,18,16/01/2014,27.0,22/04/2014,1000.0
18,Fusionex,fxi,20,411.0,750,370,02/01/2014,458.8,23/04/2014,956.0
19,Vectura,VEC,40,132.0,195,115,13/12/2013,153.0,03/04/2017,840.0
20,Dominos,DOM,10,476.0,540,440,06/12/2013,566.0,26/02/2014,900.0
21,Kentz,KENZ,20,482.0,550,450,12/09/2013,927.0,16/07/2014,8900.0
22,Vesuvius,VSVS,30,415.0,520,400,22/07/2013,494.0,13/11/2013,2370.0
23,Petrofac,PFC,5,1187.7,1500,1078,03/07/2013,1242.0,18/11/2013,270.0
24,ITV,ITV,50,145.4,190,130,03/07/2013,218.0,04/09/2014,3400.0
25,Dart,DTG,25,169.0,195,150,07/05/2013,250.0,02/09/2013,2025.0
26,Pace,PIC,20,257.0,290,241,07/05/2013,259.0,23/05/2013,40.0
27,CSR,CSR,10,439.0,550,410,25/02/2013,470.0,04/04/2013,310.0
28,Senior,SNR,20,225.0,270,215,25/02/2013,272.0,05/06/2013,940.0
29,Filtrona,FLTR,15,596.0,700,580,22/02/2013,715.0,04/04/2013,1785.0
30,Dialight,DIA,5,1132.0,1400,1050,14/02/2013,1307.0,25/03/2013,1750.0
31,Fenner,FENR,20,397.0,440,375,30/01/2013,419.0,13/03/2013,420.0
32,Brammer,BRAM,10,318.0,350,305,28/01/2013,393.0,04/04/2013,750.0
33,Kentz,KENZ,10,399.99,445,390,18/01/2013,423.0,18/01/2013,230.0
