Date,Open,High,Low,Close,Adj Close,Volume
2021-05-24,565.5,581.5,565.5,578.5,578.5,336951
2021-05-25,576.5,591.0,570.0,570.0,570.0,386836
2021-05-26,587.0,587.0,572.5,580.0,580.0,316519
2021-05-27,595.5,596.0,580.0,581.5,581.5,684551
2021-05-28,586.0,586.0,577.0,579.0,579.0,412430
2021-06-01,579.0,586.0,569.5,577.0,577.0,355919
2021-06-02,579.0,588.5,574.5,587.5,587.5,356207
2021-06-03,573.5,589.5,573.5,577.5,577.5,260053
2021-06-04,577.0,582.0,574.0,578.0,578.0,357262
2021-06-07,575.0,580.0,573.5999755859375,576.5,576.5,350231
2021-06-08,575.0,586.0,565.7659912109375,578.5,578.5,3747293
2021-06-09,586.5,598.0,572.5,572.5,572.5,265939
2021-06-10,576.0,580.5,568.5,572.5,572.5,295283
2021-06-11,586.5,586.5,573.0,574.5,574.5,178138
2021-06-14,580.0,581.0,571.5,572.5,572.5,301450
2021-06-15,591.0,591.0,569.5,570.0,570.0,384309
2021-06-16,575.5,580.0,568.0059814453125,578.0,578.0,457518
2021-06-17,574.0,581.5,574.0,578.0,578.0,474159
2021-06-18,585.0,589.0,573.5,577.0,577.0,1216158
2021-06-21,588.0,588.0,565.5,578.5,578.5,585012
2021-06-22,581.5,581.5,566.0,579.5,579.5,613616
2021-06-23,577.5,588.5,575.0,586.5,586.5,364998
2021-06-24,589.5,596.5,587.0,592.5,592.5,490516
2021-06-25,594.0,603.0,592.0,600.0,600.0,446980
2021-06-28,600.0,605.0,594.5,601.0,601.0,331473
2021-06-29,603.0,612.5,510.0,609.0,609.0,738700
2021-06-30,594.0,609.5,594.0,602.5,602.5,437250
2021-07-01,606.5,620.5,600.5,610.0,610.0,297657
2021-07-02,618.0,618.0,605.5,615.5,615.5,223997
2021-07-05,623.0,631.0,611.5130004882812,614.5,614.5,188323
2021-07-06,599.0,613.0,599.0,603.5,603.5,311599
2021-07-07,605.0,610.0,600.0,604.0,604.0,1429881
2021-07-08,617.0,617.0,598.0,601.0,601.0,399004
2021-07-09,604.5,612.5,601.0,611.0,611.0,257527
2021-07-12,609.0,613.0,599.5,602.5,602.5,283587
2021-07-13,588.0,606.5,588.0,604.5,604.5,191347
2021-07-14,605.5,611.0,597.5,609.0,609.0,165678
2021-07-15,606.0,611.0,596.0,596.0,596.0,544642
2021-07-16,600.0,603.0,580.8590087890625,594.0,594.0,460053
2021-07-19,589.5,589.5,561.0,568.5,568.5,545032
2021-07-20,573.0,580.0,568.5,578.0,578.0,411959
2021-07-21,565.0,600.5,564.0,597.0,597.0,383025
2021-07-22,613.5,613.5,598.5,598.5,598.5,335482
2021-07-23,603.5,603.5,593.0,595.0,595.0,482644
2021-07-26,590.5,599.5,590.5,594.0,594.0,349105
2021-07-27,611.0,611.0,588.0,598.0,598.0,378602
2021-07-28,600.5,609.469970703125,594.0,601.0,601.0,189522
2021-07-29,610.0,610.0,589.5,597.5,597.5,269305
2021-07-30,598.5,603.5,594.5,603.5,603.5,355159
2021-08-02,587.0,616.0,587.0,607.5,607.5,258247
2021-08-03,607.0,621.5,603.0,613.5,613.5,316973
2021-08-04,600.5,622.5,600.5,615.0,615.0,380128
2021-08-05,602.5,623.5,591.2150268554688,613.5,613.5,589797
2021-08-06,611.0,615.5,577.0,587.0,587.0,893572
2021-08-09,589.0,612.0,581.5,608.0,608.0,753237
2021-08-10,616.0,632.5,610.0,621.0,621.0,503717
2021-08-11,626.0,635.5,619.0,626.0,626.0,368379
2021-08-12,628.0,632.0,624.0,624.0,624.0,192854
2021-08-13,630.5,631.0,623.0,628.5,628.5,387256
2021-08-16,621.5,633.0,621.5,628.0,628.0,291859
2021-08-17,623.0,639.0,623.0,628.0,628.0,982587
2021-08-18,640.0,640.0,625.0,627.5,627.5,278025
2021-08-19,619.0,624.0,613.5,619.0,619.0,471610
2021-08-20,618.5,632.5,616.5,630.0,630.0,273890
2021-08-23,628.0,641.5,628.0,635.5,635.5,415417
2021-08-24,639.0,642.5,633.5,636.5,636.5,215158
2021-08-25,635.0,655.0,634.5,650.0,650.0,312193
2021-08-26,668.5,668.5,652.0,656.5,656.5,523372
2021-08-27,660.0,667.5,657.0,662.5,662.5,491131
2021-08-31,672.0,676.0,660.5,669.0,669.0,500557
2021-09-01,678.0,685.0,674.9219970703125,679.5,679.5,395358
2021-09-02,683.0,686.0,669.5,673.5,673.5,303868
2021-09-03,679.0,684.5,671.0,679.0,679.0,399256
2021-09-06,699.0,699.0,676.0,676.0,676.0,326401
2021-09-07,670.0,678.5,670.0,673.0,673.0,357484
2021-09-08,682.5,684.0,664.0,668.0,668.0,3818974
2021-09-09,662.5,673.0,655.5,667.5,667.5,316094
2021-09-10,658.5,673.5,658.5,666.5,666.5,305259
2021-09-13,673.0,676.0,665.0,666.5,666.5,36716
2021-09-14,670.0,679.5,666.0,667.5,667.5,379690
2021-09-15,661.5,672.0,657.0,657.0,657.0,396550
2021-09-16,650.0,661.0,650.0,656.0,656.0,549515
2021-09-17,650.0,665.9739990234375,650.0,656.5,656.5,541489
2021-09-20,670.5,673.5,645.0,670.0,670.0,515580
2021-09-21,676.0,691.5,674.0,683.0,683.0,634620
2021-09-22,670.5,701.0,670.5,697.5,697.5,552215
